MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
ATL vs WAS,2022-04-05,1,221.0,0.636,0.519,0.5,0.443,6,15,11,19,9,14,21,22,6,6,3,22,11,20,1,25,10,14,1,12,17,23,2,8,9,1,15,8,5,24,20,30,8,18,23,29,7,2,18,24,8,15,3,26,11,8,10,5,7,11,6,14,7,4,16,12
ATL vs BKN,2022-04-01,1,237.0,0.727,0.519,0.6,0.519,4,15,9,15,6,14,8,17,2,6,16,10,11,22,25,19,5,15,13,10,17,23,4,5,11,1,25,16,3,25,8,21,4,19,29,26,6,1,10,10,4,17,24,16,11,7,3,4,12,11,14,16,1,3,11,6
ATL vs CLE,2022-03-30,1,238.0,0.727,0.513,0.364,0.553,4,17,17,14,8,14,20,11,2,5,14,26,13,21,14,18,4,15,8,11,16,23,26,24,14,1,25,24,3,25,14,21,5,18,23,23,8,2,22,17,4,13,12,29,10,6,16,9,12,11,4,14,1,3,20,22
ATL vs GSW,2022-03-24,1,231.0,0.545,0.493,0.5,0.658,10,17,15,3,16,14,12,4,7,9,20,16,13,22,18,9,7,14,15,5,17,23,26,18,6,1,15,29,7,25,23,2,6,19,8,3,24,3,12,8,7,17,21,21,19,10,16,6,11,13,27,27,1,4,25,19
ATL vs NOP,2022-03-19,0,229.0,0.6,0.5,0.5,0.414,11,18,14,22,15,14,4,21,17,11,12,22,24,23,10,12,18,15,8,12,22,23,27,27,1,1,18,18,14,26,2,7,13,21,23,24,24,3,18,27,17,17,12,18,22,8,4,21,16,15,21,9,3,4,28,12
ATL vs MEM,2022-03-17,1,225.0,0.6,0.493,0.778,0.686,12,18,6,2,14,15,2,5,18,12,26,4,22,23,12,1,18,14,23,8,19,23,1,1,1,1,3,9,20,28,15,1,13,21,28,22,27,3,17,24,15,17,19,1,17,9,15,17,17,13,25,3,2,4,29,28
ATL vs POR,2022-03-13,1,235.0,0.556,0.493,0.143,0.394,12,17,30,23,13,15,30,26,12,12,30,28,21,23,30,27,18,15,30,27,18,22,30,22,1,1,6,13,29,29,26,15,15,21,29,11,20,3,30,17,16,20,30,27,12,5,30,26,14,14,26,15,8,5,12,17
ATL vs IND,2022-03-12,1,259.0,0.5,0.485,0.375,0.338,15,18,19,26,14,15,17,23,21,16,16,13,23,23,15,13,22,19,17,9,21,24,2,4,1,1,23,24,30,29,28,27,20,21,16,15,23,3,5,25,21,22,15,7,16,7,11,15,15,16,20,15,11,5,17,23
ATL vs LAC,2022-03-10,1,218.0,0.429,0.477,0.714,0.515,15,18,6,14,13,15,15,18,20,16,27,17,25,23,11,8,24,18,24,14,16,23,2,9,1,1,14,21,29,29,20,9,20,21,25,16,23,3,3,4,20,22,21,8,16,8,27,21,12,15,29,28,10,5,6,11
ATL vs CHI,2022-03-02,1,254.0,0.429,0.475,0.714,0.629,16,18,7,5,13,15,12,12,20,16,19,11,22,24,18,26,24,18,23,15,14,24,25,22,2,1,9,6,22,29,24,24,21,22,29,30,9,2,11,3,19,23,21,18,17,6,4,2,23,18,26,21,3,5,5,3
ATL vs TOR,2022-02-25,1,227.0,0.429,0.475,0.571,0.552,17,18,11,13,13,15,16,13,16,15,24,28,15,22,22,25,21,16,29,30,16,24,26,18,8,1,11,3,21,29,7,3,20,22,22,20,4,1,20,14,13,20,17,14,18,7,17,26,27,16,18,25,5,6,22,23
ATL vs CLE,2022-02-14,1,240.0,0.5,0.464,0.667,0.614,15,18,11,7,15,17,14,7,16,17,29,23,20,26,27,15,16,18,29,8,20,24,24,23,7,1,5,26,13,29,25,19,23,23,30,22,11,3,8,16,18,23,30,27,8,8,19,9,30,18,23,19,10,6,25,24
ATL vs SAS,2022-02-10,0,257.0,0.7,0.481,0.3,0.364,6,18,21,25,6,15,17,17,15,17,17,11,18,24,21,8,13,19,5,1,21,24,14,8,8,1,1,3,13,29,19,12,24,24,24,27,6,2,20,17,22,25,14,3,2,6,12,11,22,14,29,30,13,6,17,26
ATL vs IND,2022-02-07,1,245.0,0.7,0.472,0.364,0.345,4,19,17,26,4,16,24,22,13,15,5,12,19,23,4,8,10,17,8,10,19,25,11,4,11,1,28,24,9,29,25,26,21,23,12,14,9,2,10,25,22,24,2,6,3,8,23,17,12,12,5,14,12,6,23,17
ATL vs PHX,2022-02-02,1,239.0,0.7,0.48,1.0,0.82,5,19,1,1,5,16,1,2,18,17,16,14,26,24,16,20,14,22,9,8,11,25,14,27,7,1,1,7,18,29,11,6,18,24,28,28,2,3,12,4,24,28,19,18,3,7,1,1,10,15,18,27,7,6,19,7
ATL vs TOR,2022-01-30,0,206.0,0.7,0.49,0.4,0.511,5,17,17,17,7,16,19,15,17,15,24,28,25,22,21,27,16,18,26,29,12,24,8,20,6,1,12,2,18,29,2,5,14,23,13,22,5,3,22,18,25,22,16,23,3,6,30,26,6,13,21,27,10,6,28,24
ATL vs LAL,2022-01-29,1,250.0,0.6,0.479,0.3,0.48,12,19,23,16,11,17,25,21,16,16,21,8,28,24,26,12,19,21,27,12,12,24,16,5,6,1,10,27,19,29,22,7,15,24,18,16,4,3,23,17,27,26,18,9,5,10,25,13,12,16,28,9,6,6,21,26
ATL vs BOS,2022-01-27,1,200.0,0.5,0.468,0.7,0.51,14,21,6,14,15,17,1,8,15,16,21,12,25,24,12,5,14,19,19,21,20,25,13,2,5,1,18,17,25,29,25,14,14,23,19,10,5,3,3,21,25,26,24,10,6,9,12,22,6,13,28,17,8,6,3,2
ATL vs SAC,2022-01-25,1,225.0,0.5,0.457,0.2,0.367,15,21,28,23,18,19,27,26,21,18,23,5,27,25,22,9,20,20,24,19,17,25,16,15,6,1,4,21,29,29,14,16,16,24,25,19,7,3,12,19,25,26,18,4,9,10,19,17,4,14,16,3,11,6,24,24
ATL vs MIA,2022-01-20,1,218.0,0.4,0.432,0.7,0.644,20,21,4,4,22,20,5,5,19,16,22,17,27,24,17,16,18,19,15,7,21,25,22,30,2,2,11,17,27,29,21,21,13,23,17,14,11,2,2,2,27,22,24,25,12,13,17,14,6,13,21,21,8,5,3,7
ATL vs MIN,2022-01-18,1,256.0,0.3,0.419,0.6,0.5,24,21,8,15,27,21,5,13,16,16,8,9,26,24,17,11,18,20,5,11,27,25,4,3,2,2,25,28,26,29,4,4,16,23,1,1,10,3,17,22,23,22,12,6,14,13,8,24,7,13,19,17,10,6,26,24
ATL vs MIL,2022-01-16,1,235.0,0.2,0.405,0.5,0.6,26,22,15,5,28,21,7,6,15,16,12,3,25,24,13,2,19,21,17,14,27,25,14,18,2,2,18,22,29,29,14,8,14,23,3,2,10,4,6,7,22,22,18,4,14,13,15,16,8,15,11,5,11,7,7,16
ATL vs NYK,2022-01-14,0,225.0,0.2,0.415,0.7,0.5,26,22,5,14,28,22,13,16,16,17,29,26,23,23,15,13,19,20,30,28,28,25,23,11,4,2,10,9,27,29,18,27,19,24,19,13,10,4,12,9,20,22,23,20,19,14,25,27,9,14,23,14,14,7,30,18
ATL vs MIA,2022-01-11,0,206.0,0.3,0.436,0.75,0.625,23,21,7,7,26,20,6,6,12,21,29,18,15,23,27,21,17,21,26,7,27,26,30,30,6,1,3,16,27,29,30,26,22,26,27,15,12,4,2,3,12,24,28,26,16,13,17,14,7,19,29,22,13,6,1,7
ATL vs CHI,2021-12-26,0,248.0,0.375,0.469,0.667,0.667,21,17,16,7,20,12,16,8,27,16,30,27,26,18,30,30,27,18,30,27,19,22,30,25,4,4,2,3,26,28,30,22,25,24,30,30,5,2,2,3,27,20,30,30,25,12,15,5,21,19,29,25,9,5,16,2
ATL vs ORL,2021-12-21,0,202.0,0.375,0.483,0.222,0.194,24,19,28,29,18,10,26,30,27,23,24,25,28,24,23,17,27,22,26,26,24,26,24,17,3,1,18,23,28,29,27,27,26,26,20,9,2,1,24,26,28,27,24,12,11,7,24,28,22,22,27,23,4,5,1,15
ATL vs DEN,2021-12-16,0,248.0,0.444,0.5,0.5,0.5,19,15,12,15,9,9,16,17,23,15,13,24,21,14,26,28,22,17,3,11,15,25,29,28,2,2,6,8,25,28,16,22,23,26,10,17,4,2,6,18,25,18,18,25,14,9,7,10,23,22,25,29,6,5,8,20
ATL vs HOU,2021-12-12,0,258.0,0.556,0.5,0.7,0.308,12,15,5,26,8,9,12,26,24,17,11,25,21,16,20,25,20,17,5,24,18,26,5,12,2,2,25,30,28,29,27,26,27,26,3,11,3,2,7,20,26,19,23,29,11,11,7,21,26,23,8,2,6,7,26,30
ATL vs BKN,2021-12-09,0,218.0,0.667,0.52,0.667,0.68,8,14,8,4,6,9,13,6,22,14,28,19,23,12,24,21,21,15,20,10,16,26,12,11,1,2,2,10,28,29,28,28,27,26,29,25,2,1,30,9,28,16,27,25,3,7,13,8,26,23,19,8,5,7,4,5
