MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
CHI vs CHA,2022-04-07,0,250.0,0.364,0.563,0.6,0.513,19,13,10,17,29,18,15,17,20,13,22,4,22,28,25,15,26,18,4,3,27,25,15,13,2,5,8,10,19,24,15,5,27,30,16,6,29,5,13,10,12,21,25,4,26,3,6,14,7,19,29,17,11,3,23,27
CHI vs BOS,2022-04-05,0,211.0,0.364,0.57,0.8,0.62,20,12,1,5,29,17,1,2,18,13,10,16,22,29,21,5,18,18,9,15,28,25,9,2,2,5,7,13,18,25,24,20,25,30,11,11,29,4,1,14,9,22,27,21,24,3,1,15,9,21,26,23,12,3,2,2
CHI vs MIL,2022-04-04,0,233.0,0.4,0.577,0.556,0.615,19,11,14,7,27,15,21,7,23,15,24,3,26,30,21,3,25,18,28,22,28,25,25,28,2,5,15,12,19,25,23,15,28,30,23,5,28,4,13,5,18,24,25,11,22,3,6,12,9,20,23,8,15,3,23,15
CHI vs MIA,2022-04-01,0,236.0,0.455,0.584,0.444,0.636,16,11,20,3,25,15,16,6,20,14,30,18,22,29,29,20,19,18,30,8,26,25,30,30,7,5,11,26,12,22,29,17,27,30,22,15,25,3,18,2,10,22,30,28,24,3,22,14,13,19,28,22,15,4,8,5
CHI vs LAC,2022-03-30,1,265.0,0.4,0.579,0.25,0.487,17,11,27,18,24,15,27,21,27,15,30,27,27,29,30,20,27,16,29,21,27,24,19,13,4,5,1,14,18,21,30,16,29,30,30,21,27,3,23,6,26,24,30,21,24,3,26,24,21,21,30,30,13,4,3,9
CHI vs TOR,2022-03-20,1,212.0,0.222,0.586,0.667,0.563,27,12,3,14,25,15,6,13,29,16,3,20,30,28,1,12,28,19,23,29,30,25,11,17,4,5,15,4,21,23,4,4,30,30,13,20,24,2,23,16,29,24,1,5,13,2,24,26,30,22,3,19,8,2,26,24
CHI vs CLE,2022-03-11,1,192.0,0.286,0.606,0.375,0.576,23,9,18,12,25,13,24,8,29,15,23,25,29,26,19,21,29,16,15,11,29,24,17,25,2,5,23,25,23,23,23,22,30,30,23,24,15,2,23,15,28,25,24,29,4,1,17,10,29,22,5,18,9,2,7,20
CHI vs MIL,2022-03-03,0,230.0,0.625,0.619,0.5,0.603,6,5,16,7,13,12,14,7,8,8,26,3,10,26,22,3,13,15,28,21,21,21,30,28,20,7,1,11,23,22,30,12,28,30,20,3,5,1,12,6,11,17,26,11,2,1,16,14,21,19,12,5,4,3,14,15
CHI vs MEM,2022-02-25,0,226.0,0.75,0.65,0.714,0.672,2,4,6,3,8,11,4,5,4,6,10,2,7,24,6,1,13,14,8,6,19,21,5,1,15,6,10,11,30,23,6,1,24,30,23,21,3,2,14,24,10,17,11,1,1,1,12,15,9,18,1,2,1,1,27,28
CHI vs ATL,2022-02-23,1,220.0,0.667,0.644,0.5,0.483,2,4,11,18,10,10,15,15,1,5,4,15,1,24,7,23,2,13,6,16,10,22,11,23,26,7,16,1,19,20,4,29,19,30,9,22,6,2,2,1,1,17,9,22,1,1,12,5,1,18,15,16,1,1,1,5
