MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
DEN vs LAL,2022-04-09,0,287.0,0.6,0.593,0.2,0.395,11,9,27,23,16,12,23,22,14,10,23,11,17,17,23,19,5,3,25,16,27,29,28,7,24,24,11,26,25,20,24,10,24,13,26,17,11,15,27,22,24,25,22,10,2,2,5,7,13,24,8,10,3,8,26,29
DEN vs MEM,2022-04-06,1,231.0,0.5,0.588,0.778,0.696,14,10,3,2,17,12,2,3,11,9,22,3,17,17,16,1,2,1,21,8,25,29,3,1,26,24,6,8,24,19,9,1,19,13,27,23,18,16,2,18,22,22,20,1,2,2,19,18,16,24,23,7,5,8,20,28
DEN vs SAS,2022-04-04,0,213.0,0.6,0.595,0.778,0.423,10,9,4,22,13,9,6,17,7,6,26,9,18,17,20,8,1,1,19,2,25,29,21,9,26,25,6,6,21,18,16,11,21,13,18,24,10,14,16,17,22,23,24,2,2,2,26,11,10,23,19,28,2,8,10,25
DEN vs MIN,2022-03-31,0,266.0,0.6,0.597,0.5,0.558,8,8,15,13,15,10,12,8,18,9,17,2,22,17,21,13,4,2,24,7,25,29,19,3,26,25,13,24,25,18,11,4,24,13,8,1,4,14,8,13,26,23,19,4,2,2,15,22,20,24,11,6,9,8,3,14
DEN vs OKC,2022-03-25,1,220.0,0.545,0.581,0.1,0.288,11,10,30,27,16,11,28,27,4,8,21,30,7,18,19,9,2,3,25,30,15,29,13,15,28,21,21,14,22,21,14,10,13,12,7,8,17,14,25,30,14,20,18,12,3,3,22,30,4,24,18,28,14,8,23,20
DEN vs PHX,2022-03-23,0,270.0,0.636,0.589,0.818,0.808,5,10,1,1,10,11,3,1,6,13,4,2,12,19,12,7,1,3,2,4,16,29,6,21,24,20,15,8,17,20,6,6,15,13,16,26,21,14,4,5,14,20,6,7,5,3,2,1,4,24,24,27,11,8,2,7
DEN vs LAC,2022-03-21,1,242.0,0.545,0.583,0.4,0.493,10,10,18,17,15,11,21,20,8,13,28,21,7,20,21,15,2,3,22,17,19,29,8,12,25,22,7,17,13,19,21,11,10,11,25,17,29,15,6,6,12,19,18,11,6,3,26,24,4,24,30,30,11,8,4,10
DEN vs BOS,2022-03-19,0,228.0,0.636,0.592,0.778,0.606,5,10,5,7,11,10,3,3,4,10,28,15,3,19,26,3,1,2,24,16,14,29,12,2,27,22,2,14,6,17,25,19,9,11,21,9,28,16,17,20,9,19,30,16,5,3,14,19,4,24,28,21,12,8,8,3
DEN vs TOR,2022-03-11,0,242.0,0.778,0.597,0.444,0.545,1,9,14,14,3,11,20,14,2,13,7,21,2,17,3,17,2,4,22,28,12,29,21,18,29,19,16,4,3,16,10,4,4,13,16,20,27,16,18,13,7,22,1,7,6,3,29,25,1,24,6,21,10,9,23,24
DEN vs GSW,2022-03-09,0,215.0,0.875,0.606,0.286,0.667,1,7,21,3,2,10,15,3,5,12,22,12,6,20,24,10,1,3,11,4,14,29,23,15,26,19,12,29,4,16,8,2,7,13,11,2,26,16,10,8,14,22,21,20,2,3,8,6,2,26,29,24,7,9,22,21
DEN vs GSW,2022-03-06,1,255.0,0.875,0.594,0.143,0.672,1,11,28,3,3,10,19,2,5,15,24,14,7,21,26,10,5,3,18,4,25,29,23,14,29,19,9,29,8,19,4,2,3,12,12,2,17,11,14,8,14,20,23,20,7,3,8,7,7,27,28,24,3,8,23,21
DEN vs NOP,2022-03-05,1,268.0,0.857,0.587,0.714,0.429,2,11,7,21,4,10,1,20,14,18,12,24,16,22,12,15,11,4,12,12,29,29,19,26,27,18,14,17,8,18,6,13,5,13,26,24,10,11,17,28,22,24,18,21,11,3,1,23,15,28,21,10,3,8,14,9
DEN vs HOU,2022-03-03,1,217.0,0.75,0.581,0.0,0.242,3,11,29,29,6,10,30,29,9,17,24,21,3,22,25,29,5,4,20,24,27,29,28,21,30,18,13,30,11,20,16,19,3,13,5,6,18,12,17,21,13,24,17,26,12,4,27,23,13,28,19,1,3,9,30,30
DEN vs OKC,2022-03-01,0,226.0,0.857,0.59,0.25,0.311,1,11,22,27,4,10,29,27,16,17,12,30,12,24,6,9,14,4,11,29,27,29,5,19,30,18,19,9,19,21,3,15,9,13,8,10,10,11,30,30,19,24,7,13,10,3,28,30,18,28,17,29,4,9,21,21
DEN vs SAC,2022-02-25,1,225.0,0.857,0.576,0.429,0.361,2,12,17,25,6,10,21,26,14,18,17,9,9,26,23,18,7,5,15,18,30,29,17,17,28,17,21,22,23,20,25,18,14,13,26,17,9,11,10,22,18,25,24,6,5,3,7,18,18,30,16,4,6,9,3,17
DEN vs ORL,2022-02-13,1,232.0,0.636,0.554,0.4,0.224,7,12,19,29,6,13,24,28,5,19,20,24,4,26,22,19,3,4,8,20,26,29,23,14,30,15,18,28,14,22,26,28,5,14,12,12,5,14,17,26,8,25,20,9,6,3,21,28,7,29,21,24,3,9,5,11
DEN vs NYK,2022-02-07,1,247.0,0.636,0.547,0.2,0.444,4,12,25,20,5,11,21,19,2,19,24,27,9,27,7,5,1,4,24,29,26,29,14,10,26,12,23,12,7,23,12,25,6,15,10,13,3,13,24,16,6,27,21,23,2,3,29,27,9,30,2,5,2,11,28,25
DEN vs BKN,2022-02-05,1,228.0,0.545,0.538,0.2,0.558,9,13,26,11,14,12,27,15,3,19,18,17,16,26,20,19,2,4,23,9,27,29,20,7,26,12,13,13,10,22,23,27,4,15,25,27,5,14,8,16,11,27,15,17,4,4,12,5,14,30,30,21,2,10,13,1
DEN vs NOP,2022-02-03,0,218.0,0.636,0.549,0.333,0.373,5,12,22,23,5,12,22,25,5,19,28,28,13,26,29,16,1,4,25,14,28,29,26,28,19,12,2,16,9,23,13,17,7,16,30,24,2,14,30,26,9,27,29,19,3,4,28,26,19,30,21,6,1,11,12,8
DEN vs DET,2022-01-22,1,225.0,0.5,0.523,0.455,0.244,13,13,13,29,9,13,30,30,17,27,12,30,20,28,16,27,1,7,14,27,29,29,12,18,11,8,12,20,28,25,14,9,18,17,10,18,12,19,21,29,22,30,6,22,2,6,25,29,25,30,15,12,11,16,22,14
DEN vs MEM,2022-01-20,0,240.0,0.6,0.535,0.818,0.66,9,13,2,3,8,13,4,7,21,27,4,2,19,28,1,1,2,8,6,4,30,29,1,1,13,9,16,15,27,28,2,1,19,17,21,17,16,19,30,22,25,30,2,1,1,6,15,18,26,30,10,4,13,17,28,26
DEN vs LAC,2022-01-18,1,258.0,0.556,0.524,0.455,0.489,14,15,14,15,9,14,23,20,29,27,14,19,24,28,14,17,9,8,17,18,30,29,5,17,11,9,24,24,30,28,17,10,27,19,13,16,15,18,11,10,30,30,7,10,1,6,23,23,28,30,19,25,11,18,6,8
DEN vs UTA,2022-01-15,0,227.0,0.7,0.537,0.5,0.667,5,13,13,4,4,13,18,2,23,27,19,5,15,27,23,8,6,7,29,26,25,29,30,15,21,9,12,17,27,26,28,27,23,20,19,3,14,17,9,6,25,30,24,25,5,6,10,1,25,30,16,5,15,19,14,15
DEN vs LAL,2022-01-14,1,229.0,0.667,0.525,0.556,0.5,7,14,14,14,8,14,10,19,30,27,18,7,24,28,30,11,11,9,19,10,28,29,11,5,19,12,1,24,30,28,22,7,29,21,23,20,28,20,7,15,30,30,24,9,8,7,6,8,29,30,21,6,17,21,9,28
DEN vs POR,2022-01-12,1,248.0,0.556,0.513,0.375,0.4,13,18,24,23,17,15,24,24,29,27,30,21,20,28,30,25,17,10,30,26,28,29,27,18,22,10,1,8,29,28,30,18,27,21,26,10,30,24,4,10,28,30,30,25,19,10,27,22,28,30,18,10,18,19,15,11
DEN vs SAC,2022-01-06,1,232.0,0.5,0.5,0.364,0.4,16,17,16,22,18,18,28,25,27,27,7,5,23,29,11,7,20,11,7,14,28,29,12,13,16,9,30,25,22,26,19,17,23,22,14,15,22,21,4,19,26,29,5,4,14,10,19,18,29,30,12,3,17,19,11,22
DEN vs UTA,2022-01-04,0,224.0,0.5,0.514,0.727,0.73,16,16,1,3,18,18,2,1,28,27,1,5,24,30,1,5,19,11,12,22,28,29,5,10,19,9,28,18,22,23,11,25,24,21,2,3,21,21,13,7,25,30,3,18,16,10,6,1,27,30,1,2,24,21,20,16
DEN vs CHA,2021-12-22,0,222.0,0.556,0.5,0.333,0.485,11,16,24,11,13,17,24,22,16,25,13,1,24,29,23,10,6,10,8,1,19,27,19,5,7,7,4,12,14,22,16,3,15,19,14,5,6,18,10,2,19,29,14,1,4,6,10,13,27,29,22,5,11,20,19,27
DEN vs MIN,2021-12-14,0,231.0,0.556,0.519,0.4,0.444,12,15,18,20,16,15,25,20,27,25,11,23,30,29,10,21,12,12,24,23,29,29,14,6,1,6,23,24,20,21,11,6,18,19,5,3,6,19,21,23,28,26,8,9,6,8,28,27,29,29,9,18,6,19,10,15
DEN vs WAS,2021-12-12,1,220.0,0.444,0.5,0.364,0.556,21,15,21,10,18,15,26,23,25,26,9,21,30,30,8,15,11,11,10,14,29,27,8,10,3,7,19,14,26,21,29,30,20,21,25,27,5,17,24,26,28,27,8,20,4,8,12,10,30,30,5,8,9,20,21,15
DEN vs MIL,2021-11-25,0,229.0,0.5,0.5,0.636,0.579,14,18,4,8,19,18,8,8,21,25,7,8,23,27,1,5,19,15,10,15,25,27,14,16,4,9,18,14,30,21,12,17,18,22,3,2,18,26,3,8,23,27,5,8,19,12,21,20,26,29,8,10,18,25,27,26
