MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
GSW vs LAL,2022-04-06,1,240.0,0.333,0.633,0.2,0.392,25,4,28,23,18,5,25,23,29,18,17,15,23,9,21,22,28,5,14,18,25,18,29,7,18,29,13,22,30,4,26,11,22,3,24,19,17,10,22,20,29,26,17,15,27,10,3,7,28,25,22,12,18,20,27,29
GSW vs UTA,2022-04-01,1,218.0,0.3,0.623,0.455,0.597,23,4,16,8,20,5,13,4,26,17,10,8,10,7,7,5,25,5,27,27,26,19,13,14,20,29,14,16,28,4,16,22,14,3,1,2,28,9,17,7,25,23,11,26,28,12,13,5,22,25,15,9,17,20,27,16
GSW vs PHX,2022-03-29,0,210.0,0.4,0.632,0.9,0.813,18,3,1,1,19,5,3,1,24,12,6,4,15,6,20,12,26,5,5,4,24,18,12,22,13,29,10,6,26,2,16,6,9,3,23,28,26,9,2,4,23,20,15,9,23,9,1,1,20,25,28,26,17,19,6,7
GSW vs SAS,2022-03-19,0,218.0,0.4,0.671,0.3,0.38,20,3,23,23,17,4,26,19,21,16,23,6,22,14,17,9,12,5,12,1,23,15,10,8,10,26,10,6,8,2,19,11,6,3,20,25,15,9,30,18,19,22,11,2,10,7,25,10,29,27,20,29,20,19,25,26
GSW vs BOS,2022-03-15,0,198.0,0.5,0.681,0.778,0.594,14,3,4,8,10,2,5,4,12,11,26,17,16,8,24,3,4,3,21,15,20,15,6,2,14,29,2,15,7,2,23,19,3,2,19,10,9,7,23,23,14,19,24,16,8,6,15,19,27,26,25,21,20,20,5,3
GSW vs WAS,2022-03-13,1,238.0,0.444,0.676,0.25,0.439,17,3,25,19,10,2,23,24,13,10,27,26,19,8,28,29,4,2,14,17,18,15,8,11,13,29,7,7,7,2,28,30,5,2,28,29,12,6,1,26,13,18,27,28,8,7,2,8,27,26,27,19,20,22,5,11
GSW vs MIL,2022-03-11,1,231.0,0.375,0.672,0.857,0.627,18,3,5,5,12,2,2,7,13,11,19,4,21,9,15,3,6,3,24,20,22,15,28,28,11,29,4,11,6,2,27,13,8,2,19,5,12,7,2,5,15,19,26,10,9,5,2,12,27,26,10,5,22,22,15,15
GSW vs LAC,2022-03-07,1,209.0,0.143,0.662,0.714,0.515,28,4,8,14,17,2,8,18,21,14,24,18,27,7,10,13,14,4,21,16,25,15,4,11,9,29,19,21,3,2,18,12,12,2,24,16,12,8,4,4,22,19,20,10,6,6,17,21,23,24,27,28,24,21,9,12
GSW vs DAL,2022-02-26,0,208.0,0.429,0.717,0.714,0.583,18,2,6,11,15,2,7,9,21,15,23,22,27,9,26,27,17,3,27,21,21,12,25,28,2,29,7,3,11,2,27,26,6,2,10,11,17,7,1,21,22,23,26,26,16,7,15,20,22,22,24,23,16,18,21,16
GSW vs DEN,2022-02-15,0,233.0,0.7,0.724,0.636,0.561,6,2,6,12,13,2,6,11,17,12,4,19,19,5,5,26,17,3,4,4,23,12,26,29,14,29,29,17,10,2,15,21,4,2,5,14,3,4,4,14,22,21,12,25,15,10,4,4,26,23,10,29,8,17,3,9
GSW vs LAL,2022-02-11,1,232.0,0.8,0.732,0.3,0.464,4,2,20,18,7,2,18,20,12,12,20,10,17,6,21,14,14,3,22,13,21,11,6,4,12,29,18,25,5,2,19,7,3,3,17,18,2,4,23,19,19,19,21,10,10,7,13,8,30,23,12,6,3,19,30,29
GSW vs NYK,2022-02-09,0,230.0,0.818,0.745,0.2,0.436,2,2,26,20,6,1,23,19,6,12,25,26,8,4,9,6,6,3,24,28,7,11,20,11,28,29,19,12,2,2,14,24,1,3,9,11,6,5,25,14,7,20,17,21,10,7,29,27,19,23,5,6,6,20,27,25
GSW vs SAC,2022-02-02,1,240.0,0.75,0.75,0.222,0.358,2,2,29,23,4,1,30,26,2,9,28,6,1,4,29,10,2,2,26,20,8,9,20,14,28,29,2,19,2,2,23,17,1,3,21,17,6,7,27,21,1,13,28,4,13,8,25,19,4,20,27,4,9,18,25,22
GSW vs BKN,2022-01-28,1,216.0,0.636,0.735,0.455,0.604,7,2,14,9,5,1,15,11,9,11,4,14,2,6,10,19,5,3,10,9,16,14,8,8,28,29,25,14,2,2,18,28,1,4,23,27,13,9,5,14,9,18,5,17,21,8,1,3,13,21,25,18,15,22,5,1
GSW vs MIN,2022-01-26,1,239.0,0.545,0.729,0.667,0.511,10,2,10,16,7,1,5,14,8,13,20,16,5,6,27,22,7,3,20,17,14,13,3,4,26,29,6,24,2,2,5,5,1,4,14,3,28,11,5,22,7,21,26,9,23,9,4,24,17,21,14,20,12,22,22,21
GSW vs DAL,2022-01-24,1,222.0,0.455,0.723,0.8,0.574,15,2,2,10,15,2,2,8,13,12,23,23,4,7,12,22,9,1,21,16,10,11,23,27,29,29,16,4,1,2,27,26,1,4,16,12,30,11,26,26,7,19,23,21,28,9,16,20,16,19,11,20,15,24,16,18
GSW vs UTA,2022-01-22,1,186.0,0.455,0.717,0.4,0.652,13,2,20,4,14,2,19,3,11,11,24,4,3,5,26,4,2,1,28,24,8,10,18,10,30,29,4,17,1,2,27,25,3,4,11,3,30,10,7,6,10,17,26,16,26,9,13,2,12,17,21,3,14,25,8,10
GSW vs HOU,2022-01-20,1,208.0,0.455,0.711,0.364,0.304,14,2,20,27,14,1,29,28,14,13,6,7,4,4,10,21,1,1,21,20,13,15,17,12,25,29,30,30,1,2,19,17,4,4,2,5,28,10,9,17,8,20,10,14,23,9,19,19,17,19,1,1,16,25,23,30
GSW vs IND,2022-01-19,0,238.0,0.5,0.727,0.2,0.356,15,2,28,25,13,1,24,19,24,19,22,16,16,9,26,17,8,2,19,12,21,16,7,3,14,29,12,15,1,2,25,22,10,5,16,14,22,9,25,28,19,27,22,11,23,9,17,15,25,22,18,19,17,25,16,16
GSW vs DET,2022-01-17,1,188.0,0.4,0.721,0.5,0.238,22,2,15,29,16,1,29,30,28,18,29,30,22,11,26,29,10,2,27,28,24,16,18,21,13,29,11,17,2,2,8,10,14,5,23,21,21,9,29,29,24,26,21,27,21,8,29,30,26,22,25,16,25,25,24,14
GSW vs CLE,2022-01-08,1,178.0,0.625,0.763,0.375,0.564,10,2,22,9,11,2,10,4,27,18,24,14,28,19,21,13,13,2,22,7,11,13,24,23,12,28,2,20,5,2,30,18,25,6,24,20,10,7,21,13,28,26,22,22,6,4,9,11,30,24,27,18,28,26,27,12
