MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
IND vs PHI,2022-04-04,0,253.0,0.2,0.316,0.636,0.615,27,26,4,7,28,24,5,11,15,12,2,21,25,15,2,29,6,9,8,25,9,4,4,5,23,24,19,2,14,26,6,12,14,15,10,26,22,25,12,11,10,6,8,30,19,17,10,16,26,19,2,3,14,19,5,1
IND vs DET,2022-04-02,0,238.0,0.2,0.321,0.364,0.282,26,26,20,27,27,24,12,26,21,12,11,28,27,19,10,24,14,10,10,23,20,4,6,13,19,24,19,21,13,26,4,9,15,15,9,16,19,25,25,29,19,6,6,7,14,17,22,29,26,19,12,14,13,20,17,13
IND vs DEN,2022-03-29,0,243.0,0.333,0.329,0.545,0.592,23,26,10,9,27,23,14,11,28,14,5,8,28,15,5,16,23,10,1,3,16,4,19,29,13,26,29,24,24,27,19,18,22,15,17,13,15,25,18,14,27,6,12,23,12,17,4,3,30,19,5,24,14,21,11,8
IND vs ATL,2022-03-27,0,255.0,0.333,0.333,0.545,0.5,23,26,11,17,24,23,14,14,28,13,6,9,28,14,11,23,19,10,4,15,17,4,16,23,13,25,9,1,26,27,5,26,24,15,6,19,14,26,23,3,26,7,4,18,10,18,17,9,30,19,14,13,19,21,1,3
IND vs SAC,2022-03-22,0,219.0,0.444,0.347,0.2,0.342,19,25,27,25,17,22,28,25,26,15,18,11,22,15,25,23,21,12,21,19,8,4,29,20,17,23,18,20,29,28,15,17,25,15,23,20,21,25,19,22,27,10,21,6,12,15,21,19,23,18,11,3,15,21,14,17
IND vs POR,2022-03-19,1,227.0,0.4,0.338,0.111,0.377,20,26,29,24,19,22,30,26,14,13,30,28,14,12,29,27,16,11,30,27,3,4,29,22,26,23,16,14,29,27,21,15,17,15,28,12,13,26,29,17,15,9,28,29,12,16,30,25,19,18,23,16,16,21,26,22
IND vs MEM,2022-03-14,0,237.0,0.333,0.333,0.667,0.681,21,26,7,2,18,22,8,5,19,12,21,4,19,13,3,1,19,10,22,8,2,4,1,1,22,23,3,9,29,27,12,1,20,15,27,22,4,24,20,25,19,8,13,1,8,15,22,17,19,15,16,3,18,22,29,28
IND vs CLE,2022-03-07,0,251.0,0.375,0.333,0.286,0.578,15,26,21,12,18,24,23,9,7,10,27,26,5,5,24,19,7,9,21,10,3,4,21,25,26,24,20,26,15,24,29,26,9,15,21,23,14,26,17,14,7,6,28,30,11,16,15,9,10,10,20,19,28,22,14,23
IND vs BOS,2022-02-26,1,235.0,0.143,0.328,0.875,0.581,27,26,1,7,25,22,1,4,20,13,6,9,17,11,5,2,16,11,4,14,12,4,2,2,16,22,18,20,15,24,12,17,21,15,3,8,19,25,7,20,17,6,10,8,19,16,7,21,20,20,11,16,28,22,11,2
IND vs OKC,2022-02-24,0,254.0,0.143,0.333,0.222,0.305,26,26,22,27,25,22,26,27,20,14,7,30,17,14,1,7,16,11,5,29,22,4,3,19,18,22,28,9,21,24,1,13,20,15,3,9,13,25,29,30,15,6,2,12,18,16,28,30,24,17,15,28,25,22,22,19
