MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
LAC vs OKC,2022-04-09,1,226.0,0.625,0.506,0.364,0.296,16,18,19,27,9,20,25,26,30,23,11,30,30,21,4,6,30,18,11,28,14,10,7,15,1,14,28,17,30,15,15,12,29,19,4,7,2,3,8,30,30,17,8,9,10,22,24,29,28,30,14,27,5,9,29,24
LAC vs SAC,2022-04-08,1,215.0,0.571,0.5,0.5,0.363,18,18,18,24,11,21,23,25,30,25,29,19,30,22,29,27,30,21,29,23,16,11,25,20,1,13,2,16,29,16,29,25,30,20,29,21,2,3,25,24,30,21,29,16,9,23,23,20,28,30,22,7,6,9,14,17
LAC vs PHX,2022-04-05,1,222.0,0.375,0.494,0.8,0.797,24,18,1,1,17,21,7,1,30,24,16,4,30,22,23,11,30,20,13,4,14,10,18,22,1,14,14,7,29,16,13,6,29,20,27,28,4,3,14,6,30,18,18,7,12,23,2,1,30,30,21,26,1,9,17,7
LAC vs NOP,2022-04-02,1,219.0,0.333,0.487,0.7,0.442,23,18,5,19,21,21,5,19,29,21,19,22,30,21,18,10,27,17,21,12,8,10,20,26,1,14,8,16,27,14,2,7,27,19,30,24,8,3,26,27,28,16,21,19,18,22,7,21,27,30,6,7,3,9,10,11
LAC vs UTA,2022-03-28,1,236.0,0.222,0.48,0.455,0.6,27,18,15,9,28,21,9,4,30,27,10,7,29,20,6,6,29,21,24,27,11,12,6,12,1,14,17,17,28,16,14,21,29,21,1,2,20,6,15,7,30,22,11,26,27,24,20,5,30,30,14,8,2,10,23,15
LAC vs PHI,2022-03-24,0,219.0,0.222,0.486,0.636,0.625,26,17,6,7,26,21,16,12,30,21,13,23,29,16,17,30,29,18,21,25,14,11,17,7,2,17,11,2,29,14,12,15,27,17,13,28,22,6,17,10,26,13,18,30,28,23,26,15,30,30,3,3,6,11,5,1
LAC vs TOR,2022-03-15,0,203.0,0.6,0.507,0.545,0.559,9,15,9,14,18,19,17,13,23,16,5,20,10,6,2,17,22,13,20,28,3,9,12,16,11,21,13,4,20,9,4,4,20,16,16,20,6,5,22,14,16,6,1,8,25,23,28,26,29,28,5,20,9,10,25,24
LAC vs WAS,2022-03-08,1,224.0,0.714,0.507,0.429,0.46,7,14,15,19,10,18,14,23,25,17,18,28,12,9,28,28,20,14,10,19,6,11,8,12,18,23,11,7,14,8,21,30,24,16,27,29,2,5,1,26,20,8,22,29,23,21,1,7,25,28,30,21,7,12,5,11
LAC vs NYK,2022-03-05,0,209.0,0.857,0.523,0.0,0.397,2,14,29,22,3,16,26,22,17,17,27,28,8,10,25,8,15,16,29,30,4,12,15,12,23,21,4,9,9,10,28,28,21,16,20,12,2,4,21,16,17,12,26,25,6,20,28,27,28,27,14,4,18,11,23,25
LAC vs LAL,2022-03-02,1,243.0,0.75,0.516,0.2,0.443,1,15,28,20,6,18,21,21,14,17,30,18,6,9,30,22,10,14,30,21,2,10,14,5,26,24,1,21,6,8,30,7,20,16,30,20,3,4,30,19,13,9,30,16,7,21,27,11,25,27,30,12,25,11,22,29
