MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
LAL vs OKC,2022-04-07,1,221.0,0.182,0.388,0.364,0.3,28,23,19,27,27,24,24,27,6,12,14,30,16,19,6,6,14,16,12,28,29,7,6,15,23,26,27,16,26,10,17,11,21,17,5,7,23,22,9,30,6,11,11,10,4,8,24,30,13,10,16,28,27,29,29,23
LAL vs DEN,2022-04-02,0,247.0,0.182,0.403,0.6,0.59,26,23,10,9,28,23,14,9,5,16,14,9,16,22,20,17,15,18,3,2,29,7,28,29,24,22,26,25,21,10,23,18,8,18,21,13,23,20,9,14,4,15,23,23,9,8,2,2,11,12,17,24,29,29,4,8
LAL vs NOP,2022-03-31,0,225.0,0.273,0.408,0.6,0.434,22,22,8,20,28,23,8,20,5,16,20,20,18,22,16,9,11,17,19,12,28,7,23,26,18,22,7,16,25,10,1,7,6,16,28,24,21,20,22,27,7,15,21,19,6,8,7,21,17,14,7,9,28,29,15,11
LAL vs PHI,2022-03-22,0,247.0,0.364,0.431,0.636,0.62,19,19,5,8,24,23,15,12,5,14,13,23,14,21,13,30,7,17,19,25,21,5,14,6,25,27,14,2,18,8,19,15,4,16,11,28,14,17,13,10,6,13,15,30,11,10,26,16,17,11,2,4,24,29,4,1
LAL vs TOR,2022-03-13,0,217.0,0.222,0.433,0.5,0.552,25,19,12,14,28,23,19,14,18,18,6,21,22,22,2,17,25,21,18,28,9,5,16,18,27,23,12,3,12,8,5,4,13,18,18,20,15,16,17,13,15,17,1,8,19,11,28,25,21,10,5,21,17,29,23,24
LAL vs WAS,2022-03-10,1,231.0,0.143,0.431,0.333,0.453,29,20,22,19,28,22,18,23,24,18,29,28,24,22,29,29,27,21,17,19,8,5,14,12,24,23,3,6,11,7,28,30,16,19,29,29,19,19,1,26,19,19,29,28,23,11,1,9,26,11,30,21,12,29,3,12
LAL vs GSW,2022-03-04,1,240.0,0.167,0.435,0.286,0.683,27,20,25,2,26,22,17,2,30,18,23,15,30,24,24,10,30,22,17,3,11,5,20,14,2,20,6,29,25,7,4,2,30,20,10,2,30,19,19,8,28,19,23,22,22,12,11,7,28,14,22,25,20,29,18,18
LAL vs DAL,2022-02-28,0,213.0,0.167,0.45,0.714,0.59,28,19,7,9,24,20,6,9,30,18,23,22,30,21,26,26,30,21,29,22,7,5,21,27,9,21,5,3,27,7,30,27,30,20,12,11,28,20,1,19,30,17,27,25,18,11,13,19,27,11,25,24,29,29,21,16
LAL vs NOP,2022-02-26,0,218.0,0.2,0.458,0.5,0.4,27,19,11,23,19,20,10,24,30,18,8,23,30,21,12,16,30,20,11,12,14,5,4,26,1,18,27,17,30,7,10,14,30,20,15,24,21,18,27,28,30,18,13,19,10,10,4,24,30,9,7,5,30,29,9,7
LAL vs LAC,2022-02-24,0,207.0,0.4,0.466,0.429,0.492,22,19,17,16,17,20,18,18,30,18,17,15,30,23,21,11,30,18,14,15,14,5,16,17,2,19,15,23,30,7,9,8,30,19,22,16,21,17,2,4,30,20,17,8,5,7,11,21,27,10,27,27,30,29,24,12
LAL vs UTA,2022-02-15,1,207.0,0.222,0.456,0.667,0.632,25,19,11,6,21,21,5,3,28,15,27,6,26,20,26,8,27,18,28,27,7,6,14,11,6,23,12,16,28,8,23,25,28,19,16,4,14,18,18,6,27,14,28,27,14,9,12,3,15,8,29,5,30,29,7,11
LAL vs MIL,2022-02-07,0,247.0,0.4,0.481,0.778,0.618,17,18,4,5,18,21,7,8,20,8,22,2,17,14,25,2,22,14,20,16,8,5,30,24,15,25,1,16,12,7,20,8,19,18,18,4,22,18,8,4,17,8,25,5,19,11,7,14,10,7,21,8,26,29,4,12
LAL vs NYK,2022-02-04,1,237.0,0.364,0.472,0.3,0.462,19,18,24,20,24,21,20,20,19,9,24,28,18,11,15,10,23,14,24,29,7,6,21,11,19,26,18,11,14,7,21,28,15,18,16,12,23,18,17,10,12,7,25,28,19,12,28,27,12,5,5,11,26,29,29,25
LAL vs POR,2022-02-01,1,193.0,0.3,0.471,0.455,0.412,24,18,15,22,26,21,24,24,21,10,15,18,25,16,16,23,26,14,18,23,19,6,16,19,11,24,27,14,19,7,7,13,19,18,4,6,22,18,8,8,20,9,15,18,24,11,12,20,25,10,20,8,22,28,27,16
LAL vs IND,2022-01-18,0,215.0,0.556,0.5,0.1,0.341,14,15,29,26,15,22,25,19,23,6,21,18,30,12,25,20,28,12,14,13,14,5,6,3,1,25,18,15,25,7,22,22,19,21,8,14,6,15,23,27,26,8,24,12,7,8,19,15,27,8,11,19,19,29,18,13
LAL vs UTA,2022-01-16,1,196.0,0.556,0.488,0.545,0.674,15,17,8,4,13,22,14,2,20,7,6,4,29,11,10,5,22,13,24,25,14,5,26,14,1,24,22,17,23,7,20,24,22,21,4,3,5,14,9,6,26,7,9,17,5,8,8,1,27,8,3,3,16,28,13,15
LAL vs MEM,2022-01-08,0,246.0,0.5,0.525,0.727,0.659,10,11,2,4,15,19,2,6,7,6,3,4,14,6,1,1,9,8,5,4,3,4,2,1,19,29,20,15,9,6,1,1,12,17,15,18,17,15,24,19,9,5,1,1,4,7,20,17,6,5,3,6,21,27,19,25
LAL vs ATL,2022-01-06,1,252.0,0.4,0.513,0.333,0.459,16,11,22,21,22,21,24,15,8,6,20,13,14,6,21,21,12,9,21,21,3,4,22,25,21,28,8,2,14,6,27,29,9,18,25,25,23,16,11,3,12,5,21,20,7,7,17,12,2,4,7,17,28,28,12,5
LAL vs SAC,2022-01-03,1,236.0,0.4,0.5,0.5,0.421,15,11,8,20,21,20,26,25,6,5,11,6,9,4,17,9,11,8,10,19,2,2,8,12,27,29,27,22,10,6,18,19,7,17,17,16,23,16,4,20,11,6,13,4,11,8,17,18,3,4,10,3,25,28,12,23
LAL vs MIN,2022-01-01,1,211.0,0.4,0.486,0.556,0.457,16,13,8,19,21,22,13,20,7,5,14,20,9,4,15,20,7,8,12,19,1,2,12,6,27,29,12,20,9,4,10,6,8,17,7,3,19,15,11,23,8,5,13,8,12,8,22,27,4,4,17,21,28,28,26,22
