MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
MIA vs ATL,2022-04-07,1,222.0,0.6,0.65,0.727,0.525,10,3,1,15,8,6,5,14,25,17,4,6,27,21,12,19,22,8,8,15,30,30,18,23,16,25,2,1,23,16,3,20,13,14,9,18,3,1,6,2,28,28,5,15,3,13,12,7,24,20,6,11,13,5,8,4
MIA vs CHA,2022-04-04,1,259.0,0.6,0.646,0.667,0.513,10,3,10,16,11,6,15,18,20,18,27,5,24,18,28,16,19,7,7,3,30,30,14,13,20,27,3,10,24,16,16,5,13,14,20,6,7,1,15,7,26,28,28,4,8,13,7,15,17,18,29,17,13,5,20,27
MIA vs SAC,2022-03-27,1,223.0,0.4,0.627,0.333,0.36,18,4,23,24,19,6,22,25,25,17,29,14,25,19,30,22,24,8,26,18,30,30,27,21,16,27,9,20,28,16,22,20,13,14,26,20,21,1,11,23,25,27,28,8,23,15,16,19,21,18,20,6,4,4,12,17
MIA vs BKN,2022-03-25,0,205.0,0.5,0.635,0.667,0.521,15,4,11,15,13,6,6,17,24,17,20,12,24,17,27,21,23,8,16,11,30,30,11,7,8,24,14,15,29,16,24,27,15,14,29,27,15,1,2,11,24,27,28,17,19,14,1,4,22,18,24,19,2,3,8,6
MIA vs NYK,2022-03-24,0,214.0,0.556,0.644,0.545,0.425,15,4,10,19,13,6,5,19,29,17,8,26,28,19,3,5,27,8,21,30,30,30,11,12,4,22,17,11,30,16,9,27,25,14,11,12,15,1,6,12,30,27,12,22,20,14,21,27,29,20,2,2,2,3,27,26
MIA vs GSW,2022-03-22,0,222.0,0.6,0.653,0.4,0.653,11,3,19,3,11,6,16,4,22,18,19,16,20,19,16,9,20,7,14,5,28,30,24,15,11,22,15,29,28,16,21,2,14,14,10,3,12,1,9,9,24,27,18,21,18,14,14,9,22,21,30,26,1,3,25,19
MIA vs OKC,2022-03-17,1,228.0,0.727,0.657,0.2,0.29,2,4,25,27,5,6,29,27,8,17,23,30,14,17,17,11,9,7,22,28,19,30,16,18,21,26,23,13,11,14,5,11,12,14,11,7,9,1,20,30,12,22,18,14,14,13,21,30,7,18,21,30,10,5,18,21
MIA vs DET,2022-03-14,1,203.0,0.7,0.652,0.5,0.265,3,4,14,28,7,6,20,29,10,17,16,29,18,16,8,25,8,7,13,24,19,30,15,15,19,27,17,19,9,13,27,14,12,14,17,19,7,1,18,29,16,22,8,15,12,13,24,29,12,19,17,14,12,5,9,13
MIA vs MIN,2022-03-11,0,217.0,0.778,0.662,0.778,0.559,1,3,1,12,5,6,1,10,4,12,1,1,13,14,6,12,4,6,1,7,9,30,2,3,20,27,30,26,8,10,1,3,11,14,1,1,5,1,8,14,8,18,4,4,8,13,3,22,7,17,4,5,12,4,6,16
MIA vs CLE,2022-03-10,1,222.0,0.75,0.657,0.429,0.585,3,4,15,12,6,6,21,8,7,15,25,26,18,15,23,21,6,6,20,12,13,30,15,25,21,28,15,20,7,13,23,23,11,14,23,23,4,1,21,16,12,21,27,30,8,13,15,10,10,18,9,20,15,4,11,23
