MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
NOP vs GSW,2022-04-09,0,235.0,0.636,0.444,0.455,0.642,4,19,16,4,10,21,15,5,3,21,16,15,6,10,2,7,15,13,9,5,18,26,18,18,19,18,27,29,2,7,21,3,28,25,10,3,25,27,17,9,6,16,12,21,18,21,26,12,1,4,12,25,7,10,14,19
NOP vs POR,2022-04-06,1,221.0,0.7,0.443,0.091,0.342,3,19,30,25,7,20,30,28,19,23,14,27,13,11,14,27,25,15,12,26,18,26,13,21,10,15,29,21,3,7,1,8,30,27,8,11,20,27,28,22,18,19,2,21,16,22,28,26,7,8,15,16,2,10,26,22
NOP vs LAL,2022-03-26,1,224.0,0.364,0.419,0.3,0.425,19,20,23,20,15,20,24,22,5,20,16,18,5,7,23,23,6,12,18,19,22,26,25,5,23,17,16,22,1,7,26,10,19,24,11,16,16,27,13,19,6,17,15,16,11,22,8,8,9,9,24,14,24,11,29,29
NOP vs SAS,2022-03-25,0,210.0,0.4,0.425,0.5,0.397,19,20,15,23,14,20,19,18,14,21,17,9,11,10,15,13,13,12,11,1,29,27,3,8,20,17,18,5,1,7,24,13,25,24,14,26,18,27,26,16,17,18,15,3,11,21,24,12,9,8,11,30,21,11,19,25
NOP vs CHI,2022-03-23,1,235.0,0.4,0.417,0.3,0.583,21,21,23,11,11,20,26,14,18,22,25,16,15,11,29,28,16,12,26,19,27,27,29,24,15,18,6,5,2,7,14,22,24,25,30,30,23,27,16,2,16,18,20,23,10,21,16,2,19,9,28,22,27,11,14,5
NOP vs PHX,2022-03-14,0,246.0,0.556,0.412,0.6,0.794,14,21,7,1,2,21,3,1,17,21,7,6,15,14,17,12,10,11,3,5,28,27,5,21,10,18,14,5,2,7,4,6,24,24,9,27,19,28,10,8,17,19,7,10,5,23,7,1,14,9,27,27,27,12,2,7
NOP vs HOU,2022-03-12,1,235.0,0.5,0.403,0.222,0.254,15,22,25,30,6,22,26,30,15,21,10,19,14,14,18,29,13,11,11,23,26,27,22,20,11,18,25,30,4,8,10,20,22,24,3,6,18,27,19,21,14,18,6,24,3,22,21,24,17,9,13,1,24,10,30,30
NOP vs CHA,2022-03-10,0,262.0,0.571,0.409,0.429,0.478,12,22,15,17,3,21,14,18,14,20,17,4,8,13,19,6,14,11,14,4,25,26,11,10,10,18,12,11,5,8,9,5,26,24,9,6,20,27,14,10,14,18,16,2,7,23,13,17,18,8,14,10,25,10,28,27
NOP vs ORL,2022-03-08,0,210.0,0.571,0.415,0.429,0.242,11,21,15,29,4,21,23,28,15,20,28,27,10,10,14,19,17,12,23,20,28,26,25,17,8,19,11,26,6,10,19,23,27,24,15,12,16,27,30,28,16,17,15,12,2,22,29,28,19,8,28,27,25,10,2,8
NOP vs UTA,2022-03-03,1,214.0,0.571,0.419,0.833,0.639,11,21,6,5,3,20,5,3,16,23,27,16,16,15,24,16,18,14,26,27,21,26,21,16,14,17,7,15,23,15,13,23,29,25,19,4,15,28,4,5,22,21,29,28,1,22,3,3,22,6,29,10,13,8,8,13
