MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
OKC vs POR,2022-04-04,1,192.0,0.3,0.295,0.091,0.346,23,27,30,25,19,26,30,28,17,30,13,27,4,7,9,26,16,27,9,26,10,17,12,21,28,17,29,20,21,13,1,8,6,8,8,11,11,30,29,22,19,12,1,20,20,30,28,26,14,28,14,14,26,22,30,23
OKC vs PHX,2022-04-02,1,213.0,0.182,0.286,0.9,0.805,26,27,1,1,25,27,3,1,6,30,4,5,4,7,22,12,11,28,8,4,7,17,18,22,28,15,12,7,18,13,13,6,3,8,29,28,15,30,2,4,8,13,18,10,21,30,1,1,9,27,19,26,25,22,11,7
OKC vs DET,2022-03-31,0,211.0,0.2,0.289,0.273,0.273,28,27,22,28,23,27,16,28,23,30,13,28,19,7,11,25,21,28,12,24,18,17,8,14,27,14,22,21,21,11,5,9,5,8,14,17,10,30,27,29,22,13,9,8,17,30,22,29,18,28,13,12,22,20,11,13
OKC vs ATL,2022-03-29,0,254.0,0.2,0.293,0.636,0.507,28,27,5,17,26,26,11,14,21,30,3,9,19,7,12,22,21,28,4,15,18,17,16,23,26,14,11,1,18,11,3,25,4,8,4,19,12,30,17,2,21,12,6,17,21,30,13,6,19,28,14,12,23,20,1,5
OKC vs ORL,2022-03-22,1,222.0,0.091,0.278,0.455,0.274,30,27,15,27,29,28,24,27,12,30,15,28,7,6,5,16,16,28,12,20,4,15,19,15,27,14,26,28,4,9,20,27,2,7,7,10,25,30,29,28,9,9,8,12,22,30,30,28,18,28,15,25,19,20,8,9
OKC vs BOS,2022-03-20,0,255.0,0.091,0.282,0.889,0.611,29,27,3,6,29,27,3,3,15,30,28,13,8,7,25,2,18,28,25,13,5,16,13,2,29,13,2,13,3,9,26,19,3,7,20,8,27,30,8,20,9,10,30,15,23,30,7,18,14,29,27,21,18,20,7,3
OKC vs CHA,2022-03-13,0,250.0,0.222,0.299,0.5,0.485,25,27,17,17,29,28,10,16,20,30,24,3,18,13,25,14,21,30,14,4,11,17,22,13,23,12,9,10,4,11,10,5,11,10,15,6,28,30,6,9,12,15,26,4,22,30,4,15,22,30,22,11,15,19,25,27
OKC vs MEM,2022-03-12,0,243.0,0.25,0.303,0.625,0.676,25,27,8,2,29,28,7,5,24,30,17,4,22,15,5,1,22,30,20,8,20,19,1,1,22,10,5,9,7,13,11,1,15,12,26,22,27,30,22,24,17,15,11,1,20,30,23,17,28,30,12,2,17,22,29,28
OKC vs MIL,2022-03-07,0,257.0,0.286,0.313,0.714,0.615,21,27,8,5,29,27,7,7,26,30,15,4,20,10,10,3,24,30,23,21,10,18,29,28,12,10,5,13,4,9,29,15,21,11,14,4,30,30,8,6,16,13,23,9,23,30,9,14,26,29,4,6,10,18,16,15
OKC vs UTA,2022-03-05,0,219.0,0.429,0.317,0.667,0.629,15,27,12,5,28,27,13,3,22,30,26,15,17,9,26,16,19,29,27,28,19,19,24,16,18,11,12,16,3,12,18,24,19,11,18,4,25,30,8,8,13,14,29,28,18,30,8,4,22,29,26,9,22,20,19,13
OKC vs MIN,2022-03-03,0,239.0,0.375,0.323,0.625,0.54,16,27,6,13,23,27,19,13,13,30,5,4,5,8,17,17,12,29,6,8,6,19,3,3,16,9,22,21,1,14,7,5,12,10,2,1,28,30,22,18,5,13,9,5,24,30,17,24,17,28,5,8,24,21,18,17
OKC vs SAC,2022-02-27,0,241.0,0.25,0.317,0.286,0.355,22,27,22,25,27,27,25,26,17,30,22,10,4,10,24,17,13,30,18,17,11,20,17,16,20,9,20,18,5,17,30,18,9,11,27,18,30,30,16,22,3,13,23,7,27,30,15,18,24,30,16,4,17,19,2,17
OKC vs PHX,2022-02-23,0,228.0,0.25,0.31,0.875,0.828,22,27,1,1,25,27,4,1,12,30,3,8,4,9,3,7,11,30,1,5,6,20,11,26,23,9,5,6,8,16,2,6,3,11,21,27,29,30,28,8,8,13,5,12,28,30,3,2,18,28,15,26,25,20,17,8
OKC vs SAS,2022-02-15,0,220.0,0.4,0.316,0.4,0.379,18,27,18,24,19,27,16,17,26,30,16,7,15,11,28,12,24,30,7,1,11,20,19,8,22,9,2,4,13,16,8,9,9,9,23,25,27,30,9,10,19,13,15,3,28,30,6,7,25,28,28,30,17,20,14,26
OKC vs TOR,2022-02-08,0,215.0,0.3,0.321,0.727,0.558,23,27,3,13,22,27,12,14,27,30,6,28,16,18,10,24,27,30,18,29,25,22,5,18,19,9,20,2,14,19,1,3,10,12,11,22,26,30,1,11,21,20,6,18,30,30,20,26,30,29,11,26,22,20,21,23
OKC vs GSW,2022-02-06,0,208.0,0.3,0.327,0.9,0.755,23,27,1,2,21,27,2,1,27,30,21,14,21,18,15,5,28,30,15,2,27,22,16,10,13,9,25,29,13,19,5,2,9,11,4,3,28,30,4,5,20,19,23,25,30,30,8,6,30,29,26,24,21,20,6,19
OKC vs POR,2022-01-30,1,179.0,0.111,0.292,0.545,0.42,30,27,12,22,24,27,21,24,29,30,8,17,26,21,14,23,29,30,17,23,27,22,12,18,3,5,29,13,20,19,6,13,19,14,3,6,26,30,2,7,26,21,12,16,29,30,9,20,30,29,9,7,15,19,26,16
OKC vs IND,2022-01-27,0,223.0,0.1,0.298,0.3,0.347,30,27,24,26,27,27,26,22,24,30,17,11,19,18,22,13,25,30,13,10,27,23,6,2,4,6,25,23,11,19,13,19,10,12,17,13,29,30,15,26,17,18,19,9,30,30,16,15,30,28,8,12,9,19,21,16
OKC vs CHI,2022-01-23,0,221.0,0.1,0.304,0.364,0.622,30,27,20,8,29,27,23,12,26,30,13,21,20,11,19,30,27,30,13,23,25,21,15,23,7,8,18,5,10,18,13,19,14,11,23,30,28,30,8,1,21,12,11,29,30,30,9,4,30,28,18,24,9,19,13,4
