MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
PHI vs DET,2022-04-09,1,224.0,0.583,0.617,0.4,0.284,4,7,19,28,6,10,19,27,1,18,25,28,1,28,19,25,1,20,16,24,2,6,10,14,26,4,11,20,3,11,7,9,6,26,13,16,5,5,29,29,3,30,16,11,9,15,27,30,2,3,23,13,9,1,1,13
PHI vs IND,2022-04-08,1,253.0,0.545,0.613,0.111,0.313,11,8,29,26,7,12,27,24,7,21,27,15,9,30,28,21,6,25,14,12,4,6,11,4,18,2,10,21,11,13,18,27,15,28,22,15,5,5,18,26,15,30,27,12,11,16,14,17,3,3,29,23,9,1,2,18
PHI vs CHA,2022-04-01,1,258.0,0.545,0.605,0.778,0.519,9,8,5,15,11,13,6,16,13,25,27,5,7,30,28,14,18,26,10,3,7,6,15,11,5,2,2,9,11,15,23,5,16,28,23,6,16,11,5,8,16,30,28,4,25,18,5,13,1,5,30,17,5,1,21,27
PHI vs MIL,2022-03-28,0,234.0,0.6,0.622,0.667,0.622,9,6,9,6,13,12,10,7,23,23,25,5,19,30,24,4,25,25,27,22,17,7,27,28,4,2,2,9,19,14,25,16,22,28,24,6,10,10,2,5,24,30,28,16,26,18,6,11,3,4,25,9,7,1,20,16
PHI vs MIA,2022-03-20,1,219.0,0.6,0.614,0.7,0.662,10,8,6,3,15,12,10,6,24,24,22,18,24,30,21,19,26,25,21,8,16,6,27,30,9,2,13,21,24,15,26,17,19,28,15,14,16,10,10,1,26,30,23,27,28,16,19,14,2,5,24,20,4,1,6,5
PHI vs TOR,2022-03-19,0,181.0,0.7,0.623,0.636,0.557,5,7,5,14,14,12,8,13,20,25,7,20,25,30,2,15,26,25,24,28,19,7,19,16,7,2,9,3,20,16,3,4,18,28,19,20,12,10,21,14,27,30,2,5,27,15,24,26,1,6,6,20,1,1,21,24
PHI vs DAL,2022-03-17,1,212.0,0.7,0.618,0.8,0.623,6,8,2,6,11,12,15,9,20,23,27,26,23,30,28,25,25,25,29,24,21,7,16,26,5,2,8,3,16,15,26,25,19,28,10,10,11,10,18,21,27,30,25,27,27,15,22,20,1,6,23,24,1,1,14,18
PHI vs DEN,2022-03-13,0,224.0,0.75,0.621,0.7,0.588,6,8,2,11,9,12,6,11,28,25,2,13,27,30,3,18,27,25,1,3,25,7,11,29,3,2,29,22,23,16,6,18,21,28,4,13,10,10,25,15,29,30,8,22,27,16,1,3,3,6,1,24,1,1,13,9
PHI vs BKN,2022-03-09,0,229.0,0.857,0.625,0.25,0.5,4,7,21,16,4,12,28,19,17,27,9,14,27,30,19,18,22,25,16,11,23,6,11,7,2,2,24,15,22,18,23,27,20,28,15,25,12,10,5,11,29,30,12,15,10,13,21,9,3,8,10,16,1,1,16,6
PHI vs CHI,2022-03-06,1,227.0,0.714,0.619,0.429,0.609,7,7,16,7,15,11,16,13,23,23,22,10,25,30,24,26,26,25,24,15,27,6,27,21,2,2,4,7,19,15,29,25,19,28,30,30,20,10,8,2,28,30,21,18,24,12,3,1,2,6,29,22,1,1,6,3
