MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
POR vs UTA,2022-04-09,0,191.0,0.083,0.333,0.364,0.593,29,25,19,9,30,30,16,4,8,26,9,7,9,25,5,3,7,26,27,27,12,21,9,11,30,23,15,15,1,8,12,21,5,11,2,2,28,23,23,10,1,19,10,23,29,26,22,6,17,14,4,5,23,22,28,20
POR vs NOP,2022-03-29,0,224.0,0.182,0.36,0.5,0.427,28,24,15,20,30,27,9,20,14,26,19,21,9,26,15,9,14,26,17,12,14,20,25,26,28,18,7,16,2,8,1,7,18,12,26,24,30,22,20,27,4,21,16,18,27,26,11,22,15,11,17,9,28,23,16,11
POR vs OKC,2022-03-27,0,265.0,0.182,0.365,0.1,0.284,28,24,30,27,30,26,29,27,17,27,21,30,15,26,20,10,21,26,21,29,13,22,17,15,29,19,23,14,2,8,19,11,20,12,8,8,30,22,15,30,6,23,21,12,29,26,22,30,5,11,21,28,27,22,25,19
POR vs HOU,2022-03-25,0,213.0,0.182,0.37,0.364,0.257,27,24,19,30,30,26,23,30,15,27,9,18,16,26,17,28,20,26,10,21,17,22,7,17,29,16,30,30,6,11,11,17,21,12,10,5,29,22,12,21,7,24,10,23,28,25,9,23,5,11,8,1,27,22,30,30
POR vs HOU,2022-03-24,0,231.0,0.2,0.375,0.273,0.247,26,24,23,30,30,26,28,30,26,27,15,20,22,26,16,29,27,26,11,22,23,22,7,19,22,16,30,30,11,10,18,20,26,13,11,6,29,21,18,22,20,25,15,24,29,25,14,24,10,11,9,1,26,22,30,30
POR vs SAS,2022-03-22,0,229.0,0.2,0.38,0.4,0.389,27,24,19,23,30,26,21,19,30,27,17,9,23,26,16,13,28,26,13,1,23,21,10,10,23,15,13,6,8,10,23,13,26,12,16,25,28,18,27,16,22,25,13,2,29,25,24,12,9,13,19,30,27,23,26,26
POR vs WAS,2022-03-11,1,245.0,0.0,0.385,0.286,0.446,30,24,23,19,30,26,21,24,30,28,27,27,30,27,27,28,30,27,13,18,30,22,11,12,8,14,6,7,27,15,25,30,29,11,28,29,30,18,1,26,30,27,27,28,30,26,1,9,24,14,30,20,14,17,13,12
POR vs DEN,2022-02-26,0,216.0,0.667,0.417,0.875,0.583,11,21,1,11,20,25,5,10,29,19,5,17,29,23,2,25,28,23,3,4,27,19,28,29,5,14,30,19,25,13,16,20,24,7,3,13,20,13,9,11,28,20,12,22,25,23,6,3,26,13,10,29,13,19,7,9
POR vs GSW,2022-02-23,0,227.0,0.571,0.424,0.429,0.712,11,21,19,2,19,25,18,2,24,18,20,13,14,19,26,6,20,23,18,3,16,18,24,12,13,15,9,29,16,11,11,2,15,6,4,2,24,10,11,5,15,17,22,21,23,23,14,8,24,12,25,23,21,21,18,18
POR vs NYK,2022-02-11,1,215.0,0.273,0.393,0.3,0.446,20,22,20,20,24,25,22,19,11,18,23,26,9,22,8,5,15,24,24,28,19,18,24,13,24,15,16,12,8,11,17,27,4,6,10,11,18,14,21,13,8,16,13,21,22,24,28,27,26,10,5,5,28,21,26,25
POR vs LAL,2022-02-08,1,212.0,0.25,0.382,0.364,0.473,23,23,18,18,24,25,18,21,7,19,15,6,4,22,14,9,13,24,21,13,14,17,3,5,27,15,23,26,12,12,12,7,1,6,16,18,15,13,22,19,4,14,13,9,24,24,15,10,22,9,5,5,29,21,27,29
POR vs ORL,2022-02-07,0,208.0,0.273,0.389,0.4,0.218,23,22,17,29,24,25,23,29,11,18,19,24,8,22,26,19,16,24,9,22,15,18,15,14,26,15,15,27,15,13,27,28,3,6,17,12,12,12,16,27,8,17,20,10,22,23,18,28,26,10,13,22,29,21,5,10
POR vs MIL,2022-02-04,0,245.0,0.417,0.396,0.556,0.604,15,22,15,6,21,25,18,8,7,18,27,5,4,20,28,3,14,24,29,21,14,18,29,25,29,15,2,15,6,12,21,9,1,6,20,4,11,11,21,9,5,13,28,10,22,23,24,17,20,8,23,9,27,21,2,12
POR vs OKC,2022-02-03,0,189.0,0.455,0.404,0.222,0.32,14,22,28,27,19,24,23,27,17,18,29,30,11,22,25,20,20,23,30,30,19,19,27,22,26,14,7,6,8,12,20,19,4,6,21,13,9,9,28,30,17,16,26,22,18,23,30,30,24,10,30,29,27,20,17,17
POR vs DAL,2022-01-25,0,244.0,0.545,0.426,0.727,0.563,11,22,1,11,17,24,8,11,12,20,15,23,12,24,5,20,16,25,14,16,9,17,21,27,27,13,23,4,7,13,23,23,5,7,12,9,2,8,26,26,13,25,15,18,25,23,21,20,5,8,6,21,27,16,15,17
POR vs MIN,2022-01-24,0,216.0,0.6,0.435,0.667,0.5,8,22,8,15,17,24,4,14,22,22,21,15,19,25,26,21,26,26,16,14,8,17,4,4,22,12,5,25,7,13,5,5,10,9,9,3,2,8,6,20,22,28,24,7,21,22,6,24,10,9,17,17,27,17,21,20
POR vs BKN,2022-01-09,1,222.0,0.25,0.385,0.5,0.658,27,23,16,7,27,24,18,10,30,19,26,21,30,25,27,24,30,24,25,12,29,20,5,7,1,10,11,14,24,15,20,28,24,9,30,27,5,9,29,17,29,23,28,27,28,22,2,4,15,9,23,14,17,11,4,1
POR vs SAC,2022-01-08,1,191.0,0.25,0.368,0.364,0.39,27,25,15,22,28,24,27,25,25,20,6,5,27,25,9,7,30,25,8,17,24,20,15,14,3,7,30,24,25,16,18,17,21,12,14,15,7,11,3,17,26,24,5,4,25,22,17,18,8,8,10,3,14,10,9,20
POR vs CLE,2022-01-06,0,211.6,0.375,0.378,0.375,0.553,22,24,22,9,26,24,9,4,24,21,25,18,27,25,22,14,28,25,17,7,25,20,26,22,5,8,5,22,26,16,29,18,21,11,23,20,6,13,26,14,27,25,22,21,21,21,8,11,8,11,28,20,5,9,20,11
POR vs MIA,2022-01-04,0,224.0,0.375,0.389,0.7,0.605,23,23,4,7,27,24,7,6,25,21,9,8,27,25,7,11,29,25,10,7,22,21,28,30,7,11,20,21,28,18,25,20,21,10,6,11,6,14,2,5,26,23,11,16,25,21,22,14,9,11,19,17,3,9,10,6
POR vs ATL,2022-01-02,1,267.0,0.25,0.371,0.333,0.457,26,25,24,19,28,24,25,18,24,21,17,18,26,25,20,21,30,25,21,21,22,20,15,24,9,11,7,2,27,20,24,28,17,12,23,24,12,15,5,2,25,23,19,21,27,22,20,12,11,11,8,20,8,10,6,5
POR vs UTA,2021-12-28,0,225.0,0.25,0.394,0.8,0.727,27,25,1,3,23,24,2,2,27,22,6,6,28,25,2,6,29,25,13,24,16,18,6,9,13,14,17,18,26,18,18,22,19,12,3,3,10,14,8,5,28,26,6,24,24,19,3,2,12,12,3,4,11,10,24,16
POR vs DAL,2021-12-26,0,249.0,0.25,0.406,0.4,0.469,28,24,16,17,24,23,8,16,28,22,11,26,28,24,7,25,28,25,10,23,16,18,26,29,18,14,7,2,23,17,22,26,22,11,8,10,13,14,30,25,28,27,9,23,24,17,23,23,20,15,10,24,15,12,4,20
POR vs CHA,2021-12-16,1,241.0,0.1,0.379,0.4,0.533,28,24,19,10,28,25,17,20,22,11,6,1,20,18,24,11,25,18,7,1,22,14,6,5,13,15,8,11,21,13,16,3,15,7,5,5,21,15,2,1,19,14,16,1,28,20,2,7,7,11,15,5,21,14,13,27
POR vs MEM,2021-12-14,0,216.0,0.1,0.393,0.727,0.607,28,23,1,6,28,24,2,11,20,11,2,6,21,17,2,3,21,15,2,6,27,18,1,2,18,15,27,11,20,14,1,1,15,7,8,18,24,16,15,17,15,12,1,3,26,18,10,16,7,12,2,14,21,17,30,25
POR vs PHX,2021-12-13,0,218.0,0.2,0.407,0.778,0.808,27,23,6,2,27,24,8,3,20,18,28,22,22,22,29,27,20,20,23,12,24,19,30,28,13,10,6,5,17,18,14,7,16,10,29,29,22,16,8,6,18,19,27,27,23,18,14,2,7,14,26,24,20,15,17,12
POR vs MIN,2021-12-11,0,227.0,0.222,0.423,0.4,0.423,27,22,20,22,26,24,25,21,28,19,18,20,30,23,14,18,27,21,22,22,29,23,7,5,4,8,19,24,26,19,6,6,27,10,4,2,21,16,22,22,29,20,5,7,22,18,27,28,20,20,10,22,19,12,14,18
POR vs LAC,2021-12-05,0,192.0,0.5,0.458,0.364,0.5,14,17,18,13,23,24,23,12,18,9,16,16,25,18,10,14,23,14,18,17,22,17,25,23,9,11,30,23,16,11,17,10,19,6,13,9,11,13,17,11,20,11,10,14,12,15,21,20,14,15,15,25,4,9,6,8
