MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
SAC vs NOP,2022-04-04,0,232.0,0.444,0.367,0.6,0.436,19,24,10,20,25,25,10,21,29,14,16,22,29,23,6,9,27,20,22,12,12,19,14,26,11,19,14,18,28,21,3,7,24,21,30,25,24,24,23,27,29,8,16,18,25,19,17,23,12,4,5,7,16,18,7,10
SAC vs GSW,2022-04-02,0,199.0,0.556,0.372,0.3,0.628,15,24,23,4,22,25,24,5,28,15,26,14,28,23,17,6,28,19,23,5,16,18,26,18,9,19,22,29,23,21,27,3,28,21,10,3,17,23,24,11,29,8,24,20,20,19,28,12,12,4,19,25,17,18,16,19
SAC vs PHX,2022-03-19,0,251.0,0.3,0.347,0.727,0.803,23,25,2,1,24,25,2,1,21,9,3,4,26,22,11,6,21,18,2,4,24,16,8,21,20,20,12,7,18,18,5,6,24,19,14,26,23,23,4,5,23,7,3,8,15,18,2,1,13,5,26,26,15,17,2,6
SAC vs BOS,2022-03-17,0,223.0,0.3,0.352,0.778,0.6,23,25,6,8,22,25,5,4,21,8,28,16,24,21,27,3,19,16,26,15,27,18,8,2,14,20,2,15,16,16,29,19,24,19,23,9,26,22,28,23,21,5,29,16,13,18,20,19,11,4,27,21,13,17,3,3
SAC vs MIL,2022-03-15,0,261.0,0.3,0.357,0.778,0.623,21,25,4,5,26,25,4,7,15,10,17,4,20,21,15,2,14,16,24,20,24,19,29,28,15,18,3,11,14,18,23,10,25,19,17,4,27,22,2,4,20,7,22,11,13,18,9,12,9,4,8,7,17,17,16,15
SAC vs CHI,2022-03-13,1,215.0,0.222,0.348,0.375,0.612,25,25,20,8,26,25,21,13,17,9,29,16,23,20,29,26,16,16,29,18,24,19,28,24,13,18,4,6,21,19,16,21,25,19,30,30,26,23,14,1,19,6,28,24,15,18,6,1,8,4,30,22,19,18,7,2
SAC vs DEN,2022-03-08,0,206.0,0.25,0.358,0.875,0.6,23,25,1,9,26,25,3,10,10,7,3,15,16,16,5,21,14,16,1,4,23,18,20,29,23,21,26,18,17,17,6,17,19,17,4,13,28,23,20,14,10,6,11,22,15,18,3,3,6,3,1,26,15,18,8,9
SAC vs NYK,2022-03-06,0,246.0,0.25,0.364,0.143,0.406,23,24,28,22,27,25,22,21,16,6,26,28,17,17,16,5,19,16,28,30,18,19,10,10,25,22,7,10,15,17,28,28,22,17,17,12,30,23,16,11,12,6,22,23,18,19,28,27,12,3,11,4,11,17,27,25
SAC vs DEN,2022-02-23,0,238.0,0.429,0.367,0.714,0.569,19,25,7,12,21,26,8,11,16,8,13,19,25,17,12,26,13,19,10,4,23,17,30,29,24,20,27,17,14,18,27,25,26,17,10,13,10,20,9,12,24,7,19,25,5,17,11,4,12,3,19,29,3,17,6,9
SAC vs MIN,2022-02-08,1,251.0,0.2,0.357,0.7,0.537,25,24,8,13,29,26,8,12,23,5,8,9,28,12,23,17,23,20,14,11,20,16,8,3,11,21,5,20,17,16,4,5,23,17,9,1,21,20,2,18,24,4,20,7,19,18,9,23,19,2,7,15,23,22,14,18
