MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
UTA vs PHX,2022-04-07,0,216.0,0.455,0.6,0.7,0.788,17,9,5,1,10,3,9,1,12,8,18,5,5,4,22,11,27,27,15,4,8,11,20,22,13,15,14,7,12,21,10,6,1,2,26,26,24,9,17,7,10,24,18,6,18,5,5,1,8,8,24,27,28,19,17,7
UTA vs OKC,2022-04-05,1,238.0,0.455,0.595,0.364,0.304,16,9,20,27,13,4,19,26,12,8,11,30,9,4,4,6,29,27,14,28,9,12,6,16,15,15,28,17,11,22,15,11,2,2,5,7,23,9,9,30,10,24,12,11,21,6,18,30,9,8,12,28,29,18,30,23
UTA vs MEM,2022-04-04,1,236.0,0.4,0.59,0.889,0.705,19,10,1,2,16,4,2,3,21,8,19,2,19,6,14,1,29,28,15,8,14,14,1,1,7,15,5,9,15,24,8,1,4,2,25,23,18,8,2,19,21,26,17,1,21,5,9,18,20,9,26,6,28,16,25,28
UTA vs LAL,2022-03-30,1,231.0,0.364,0.592,0.3,0.413,17,10,23,22,15,4,26,22,8,8,20,18,6,6,25,25,26,27,19,20,5,12,28,6,22,17,10,22,10,23,28,11,1,2,13,16,14,7,17,20,6,27,18,16,21,5,6,8,10,8,25,17,25,16,29,29
UTA vs LAC,2022-03-17,1,213.0,0.636,0.623,0.545,0.5,6,6,12,15,11,2,17,20,6,7,17,15,2,5,4,7,16,26,14,13,9,13,3,9,27,17,18,21,13,23,16,10,2,3,18,16,8,7,7,5,10,25,9,6,18,4,25,21,9,8,24,28,25,13,8,10
UTA vs CHI,2022-03-15,1,235.0,0.6,0.618,0.333,0.603,9,6,21,8,13,3,22,14,14,7,28,15,6,5,27,27,23,26,27,19,15,12,28,24,22,17,6,6,16,24,16,22,2,3,30,30,10,8,15,2,19,24,25,22,19,4,11,2,16,9,30,22,24,14,3,2
UTA vs MIL,2022-03-13,0,228.0,0.667,0.627,0.75,0.618,6,5,6,5,12,3,4,7,15,8,21,4,8,5,17,3,21,26,23,20,13,12,29,28,21,17,2,10,18,24,29,13,3,3,17,4,8,7,2,5,21,26,25,10,16,4,9,12,17,9,9,7,26,14,18,15
UTA vs SAC,2022-03-11,1,259.0,0.625,0.621,0.25,0.353,7,6,23,25,11,3,26,25,17,7,19,8,8,6,22,20,18,26,15,16,13,12,22,17,23,17,18,20,14,21,19,20,3,3,24,19,10,6,29,23,21,26,20,6,20,4,16,18,20,9,8,4,24,14,20,19
UTA vs POR,2022-03-08,1,208.0,0.571,0.625,0.167,0.391,11,6,29,23,21,3,30,26,26,12,30,26,20,12,30,27,24,27,30,26,22,15,30,21,19,16,11,14,14,23,23,15,6,3,29,9,9,7,29,16,25,27,30,26,19,4,30,25,24,9,16,12,21,13,17,20
UTA vs DAL,2022-02-24,1,223.0,0.833,0.621,0.857,0.593,6,6,4,8,3,3,5,9,28,12,21,20,23,13,21,25,26,27,26,20,9,12,27,28,5,14,7,4,23,25,29,26,15,4,13,11,14,6,1,23,28,27,26,24,10,4,14,19,29,6,17,22,3,11,20,17
