MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
WAS vs NYK,2022-04-07,0,206.0,0.5,0.438,0.545,0.438,10,20,10,20,21,22,13,20,3,22,19,27,3,23,7,5,1,11,28,30,5,8,13,12,19,8,4,11,25,30,17,27,15,29,3,12,16,25,15,13,2,26,15,25,8,6,29,27,17,15,1,2,9,12,30,26
WAS vs DAL,2022-03-31,1,238.0,0.333,0.434,0.727,0.623,19,20,5,4,24,22,9,8,3,25,13,24,6,27,10,24,3,14,25,23,2,8,21,27,22,8,14,4,16,30,30,29,18,29,3,7,23,26,18,23,5,28,14,26,11,7,12,20,4,16,16,23,17,12,18,18
WAS vs ORL,2022-03-29,1,237.0,0.25,0.427,0.4,0.263,23,20,18,28,29,24,23,28,2,24,26,29,4,27,7,14,2,13,11,19,3,9,23,19,24,8,22,28,11,30,28,28,20,29,11,11,21,26,24,28,3,28,17,11,14,7,30,28,3,17,27,27,15,12,18,10
WAS vs CHI,2022-03-28,0,201.0,0.273,0.432,0.4,0.573,23,20,19,11,26,23,25,16,15,25,27,15,18,27,28,29,8,15,28,16,6,10,29,24,13,8,6,6,16,30,14,23,26,29,30,30,18,26,26,3,16,28,25,24,14,7,21,2,5,16,16,20,12,12,9,3
WAS vs GSW,2022-03-26,1,238.0,0.273,0.425,0.5,0.649,23,20,16,3,25,24,12,5,14,25,21,14,18,27,16,7,7,15,13,5,9,12,28,19,9,8,13,29,15,30,27,2,20,29,7,3,22,26,14,9,13,28,20,23,13,7,12,6,7,16,30,27,10,12,15,20
WAS vs LAL,2022-03-18,1,246.0,0.2,0.42,0.273,0.429,26,21,23,19,22,24,28,23,25,24,10,17,27,28,19,22,15,17,20,19,4,10,8,5,8,8,29,26,27,30,12,8,29,29,4,17,5,26,16,19,26,28,6,14,8,7,23,11,21,18,13,10,11,12,20,29
WAS vs DEN,2022-03-15,0,236.0,0.222,0.433,0.727,0.594,26,19,2,8,24,24,6,11,24,25,2,13,29,28,3,19,13,16,2,4,10,12,13,29,9,8,30,22,26,30,5,17,28,29,5,11,1,25,25,15,26,28,7,21,2,7,1,3,26,19,1,23,7,11,14,9
WAS vs IND,2022-03-05,1,256.0,0.429,0.452,0.375,0.338,15,19,15,26,14,24,16,23,21,27,2,9,21,28,1,5,10,18,3,9,6,10,3,4,23,8,29,26,19,30,10,22,28,29,4,15,1,26,16,25,20,27,2,6,3,8,15,19,30,21,6,13,8,12,29,23
WAS vs ATL,2022-03-03,0,231.0,0.429,0.459,0.5,0.484,16,19,11,18,16,24,11,15,21,26,7,14,23,28,13,23,16,20,16,17,11,12,11,23,17,8,6,1,13,30,17,29,27,29,8,21,1,26,7,2,19,27,10,20,7,8,15,5,30,20,11,15,11,12,2,5
WAS vs DET,2022-02-28,1,229.0,0.429,0.45,0.375,0.246,17,19,17,28,16,24,29,30,20,26,16,29,28,28,8,27,16,19,11,25,17,13,15,14,12,7,21,20,10,30,17,10,26,28,16,18,2,26,29,29,22,26,7,15,8,9,29,29,30,21,18,13,7,12,13,14
