MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
BKN vs PHI,2023-04-08,0,239.0,0.545,0.556,0.455,0.654,8,9,14,3,6,12,22,4,10,20,12,14,12,29,14,26,9,13,15,17,3,1,15,13,14,13,28,13,10,15,12,9,5,13,12,16,19,5,16,1,12,27,15,30,23,6,17,7,8,25,7,7,6,7,1,1
BKN vs ORL,2023-04-06,1,185.0,0.5,0.55,0.6,0.425,16,10,10,23,12,12,15,24,22,19,24,26,22,29,16,17,17,13,22,26,8,1,5,15,8,14,19,25,19,18,12,12,14,13,20,27,14,5,19,24,21,28,20,23,21,6,20,20,16,25,14,8,8,7,15,16
BKN vs MIN,2023-04-03,0,209.0,0.4,0.551,0.4,0.494,19,9,19,16,18,13,21,20,20,19,18,10,18,29,13,23,16,14,6,8,8,1,25,4,11,14,25,28,17,18,20,5,10,15,16,14,18,5,6,16,21,27,17,16,26,5,21,4,7,25,6,14,9,7,27,24
BKN vs UTA,2023-04-01,1,221.0,0.4,0.545,0.333,0.468,20,9,24,22,15,14,24,21,18,19,23,7,20,29,11,6,15,14,17,10,5,1,4,4,12,14,15,27,15,18,30,30,8,15,19,5,14,4,20,19,19,27,24,14,25,4,22,18,8,27,22,13,9,8,19,16
BKN vs ATL,2023-03-30,1,231.0,0.4,0.539,0.5,0.5,20,9,14,16,19,14,16,18,18,20,8,6,17,29,5,12,17,14,16,19,5,1,8,12,13,14,13,3,18,19,25,21,8,15,23,29,13,5,14,20,18,27,8,2,26,5,17,9,6,26,8,24,10,8,6,3
BKN vs HOU,2023-03-28,1,237.0,0.3,0.533,0.273,0.237,24,9,24,29,20,15,28,29,20,24,7,28,20,29,4,3,24,16,22,30,14,1,27,16,14,14,29,30,13,19,8,15,9,15,20,18,19,5,29,30,16,27,5,13,27,5,20,29,8,27,3,5,5,7,20,25
BKN vs CLE,2023-03-22,0,230.0,0.5,0.542,0.778,0.622,10,10,3,5,10,15,2,1,22,24,27,16,17,29,30,23,23,15,25,11,9,1,15,16,7,13,1,11,10,19,16,12,8,15,26,22,23,4,12,13,18,27,27,25,30,4,10,5,10,27,26,19,12,8,23,20
BKN vs CLE,2023-03-20,0,224.0,0.455,0.549,0.667,0.616,12,9,6,5,21,14,2,1,11,24,29,16,13,29,30,23,16,15,28,11,9,1,15,16,16,11,1,12,4,18,13,12,5,15,27,21,20,4,21,14,6,28,28,24,30,4,13,6,8,27,26,19,10,8,27,20
BKN vs DEN,2023-03-18,0,210.0,0.455,0.557,0.5,0.662,12,9,12,4,16,13,10,6,11,24,15,5,12,29,19,19,15,16,3,2,4,1,18,19,15,10,6,22,3,18,15,10,4,15,16,25,19,4,21,2,8,28,19,21,30,3,4,1,6,27,19,23,5,8,21,24
BKN vs SAC,2023-03-15,0,197.0,0.455,0.565,0.818,0.603,12,9,1,6,25,11,5,8,13,20,1,2,18,28,10,26,16,14,2,5,5,1,29,30,16,12,23,10,3,18,10,23,5,14,9,8,24,4,2,9,11,28,9,24,30,3,1,2,7,27,3,9,5,8,18,9
BKN vs CHA,2023-03-04,1,188.0,0.286,0.556,0.714,0.308,21,9,6,27,29,15,12,27,21,25,15,16,27,29,10,6,22,13,16,12,11,1,9,9,7,11,25,16,18,21,12,5,6,21,22,14,18,2,8,29,24,29,18,1,25,3,16,26,11,29,7,13,4,8,17,26
BKN vs MIL,2023-02-27,0,222.0,0.286,0.567,1.0,0.717,22,9,2,2,26,11,2,6,23,27,28,22,26,29,17,2,25,14,27,20,21,1,19,12,4,11,2,20,18,22,29,27,8,21,7,4,17,2,14,15,24,29,26,18,26,2,21,23,13,29,29,23,7,9,26,29
BKN vs MIA,2023-02-14,1,221.0,0.364,0.579,0.556,0.552,19,7,16,8,27,11,17,16,7,25,30,29,16,28,30,26,12,13,29,25,8,1,27,30,15,12,3,7,23,21,15,3,7,22,24,9,5,2,24,28,6,29,29,22,19,2,30,30,7,29,24,22,9,11,2,1
BKN vs PHI,2023-02-10,0,199.0,0.5,0.6,0.667,0.648,14,7,6,5,22,8,12,5,13,24,27,27,23,28,29,30,18,12,23,19,13,1,27,17,11,14,2,5,25,21,18,9,13,22,27,21,2,2,4,4,19,29,29,30,10,2,11,9,15,29,12,18,10,10,7,3
BKN vs CHI,2023-02-08,1,221.0,0.455,0.593,0.6,0.481,17,7,6,20,23,10,6,15,6,24,16,25,19,28,12,24,9,12,16,22,3,1,15,19,20,14,18,9,19,21,11,11,7,24,26,30,2,2,25,12,10,29,20,24,4,2,5,5,8,29,19,24,17,10,11,5
BKN vs PHX,2023-02-06,0,228.0,0.455,0.604,0.8,0.527,13,6,2,10,22,8,4,11,6,25,16,16,16,28,4,11,9,13,5,3,1,1,9,8,22,14,15,16,19,22,17,15,9,23,21,16,3,2,7,3,7,29,18,7,6,2,25,22,10,29,11,26,17,11,16,10
BKN vs LAC,2023-02-05,0,240.0,0.5,0.615,0.636,0.536,14,6,3,8,22,8,7,19,17,27,6,12,22,29,11,6,14,14,17,23,6,1,9,15,15,12,13,19,20,22,16,18,18,27,7,10,7,2,3,6,19,30,11,14,5,2,11,21,19,30,13,12,20,12,4,21
BKN vs WAS,2023-02-03,1,248.0,0.4,0.608,0.75,0.471,20,7,9,22,24,8,4,22,19,27,27,28,22,29,26,19,16,12,25,18,6,1,15,7,15,12,1,7,20,22,27,27,15,28,25,24,12,2,7,20,20,30,28,26,8,2,13,10,19,30,26,21,28,13,5,18
BKN vs LAL,2023-01-29,1,225.0,0.333,0.612,0.4,0.46,24,7,19,21,22,7,20,24,28,24,15,7,29,28,11,10,22,11,20,15,7,1,15,16,12,14,1,12,26,21,13,24,25,27,14,24,6,2,28,26,29,29,11,15,7,1,23,8,28,29,5,6,28,14,24,13
BKN vs NYK,2023-01-27,1,237.0,0.333,0.604,0.5,0.54,24,7,13,9,23,7,21,9,28,23,19,9,29,28,3,3,25,11,29,27,6,1,20,23,17,14,4,5,25,20,27,28,26,29,12,8,11,2,21,25,28,29,11,7,6,1,26,25,27,29,7,3,25,12,18,22
BKN vs DET,2023-01-25,0,252.0,0.444,0.617,0.125,0.245,20,6,29,29,21,7,29,29,29,27,30,18,29,29,30,18,26,11,30,26,2,1,29,28,15,14,8,18,24,19,20,12,27,29,30,17,6,2,21,18,29,30,30,16,7,1,19,26,28,30,26,1,24,14,17,21
BKN vs OKC,2023-01-14,0,214.0,0.75,0.659,0.6,0.465,7,4,7,20,7,7,4,14,30,29,16,7,30,30,21,11,30,12,19,18,2,1,10,7,4,10,6,11,27,20,5,5,30,29,16,15,3,2,6,17,30,30,16,4,1,1,13,20,30,30,21,19,9,6,14,11
BKN vs BOS,2023-01-11,0,207.0,0.875,0.675,0.8,0.714,4,4,3,1,3,6,4,1,29,25,10,3,30,30,10,11,29,12,5,7,3,1,3,4,6,12,9,4,21,22,25,26,30,29,2,2,2,2,20,8,29,30,10,12,1,1,13,11,30,30,10,19,7,6,6,1
BKN vs SAS,2023-01-01,1,242.0,1.0,0.667,0.4,0.333,1,2,18,27,1,6,25,30,30,19,10,26,30,28,17,21,28,8,9,7,9,1,16,23,3,14,19,24,29,22,12,18,30,25,28,21,1,2,13,17,30,28,8,12,1,1,9,16,30,29,15,28,2,6,28,29
BKN vs MIL,2022-12-22,1,218.0,0.889,0.625,0.636,0.71,1,4,4,1,5,9,8,6,25,13,5,24,29,27,1,3,19,5,3,17,5,1,9,4,7,19,28,18,28,20,25,30,29,24,7,7,2,3,14,16,29,26,7,20,1,1,14,21,30,27,14,20,16,8,17,27
BKN vs GSW,2022-12-20,1,256.0,0.889,0.613,0.4,0.469,1,4,22,18,6,10,20,17,28,14,22,2,29,27,23,14,26,10,4,1,3,1,19,21,3,18,28,30,27,21,29,19,30,24,5,1,7,7,4,5,29,26,19,7,1,1,18,9,28,27,29,29,7,11,11,8
BKN vs ATL,2022-12-08,1,236.0,0.7,0.538,0.4,0.52,3,9,19,11,10,12,20,16,20,7,22,13,26,25,18,10,10,7,27,22,1,1,16,16,17,19,12,3,28,18,17,16,23,17,20,27,4,9,26,29,25,19,18,7,1,2,19,19,30,25,21,27,19,14,10,4
BKN vs CHA,2022-12-06,1,238.0,0.7,0.52,0.333,0.292,4,10,25,26,9,14,28,26,19,8,28,27,25,25,20,7,6,8,28,12,2,1,28,16,20,19,4,16,27,15,19,11,20,17,28,24,4,10,25,29,25,20,21,6,1,2,30,29,29,23,26,21,19,9,24,26
BKN vs BOS,2022-12-03,0,195.0,0.636,0.542,0.8,0.783,3,8,1,1,15,13,1,1,6,5,5,3,14,21,18,20,3,4,5,5,1,1,18,12,25,23,17,9,25,14,23,30,13,15,4,3,6,9,1,1,11,17,18,20,1,2,2,3,24,23,26,24,12,8,1,1
