MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
BOS vs ATL,2023-04-08,1,234.0,0.778,0.691,0.545,0.506,5,2,8,16,1,1,11,18,24,4,1,2,18,7,2,10,20,7,7,18,8,6,7,12,4,7,26,4,25,27,14,21,6,2,15,28,12,6,18,21,24,15,2,3,10,15,8,9,29,28,3,20,24,4,4,3
BOS vs TOR,2023-04-06,1,223.0,0.7,0.688,0.6,0.5,4,2,10,17,1,1,3,11,13,5,23,24,13,7,18,16,13,7,20,23,13,6,7,6,5,6,2,1,18,27,2,1,3,2,19,22,8,7,30,28,16,14,13,5,16,15,24,27,27,28,26,16,22,4,10,17
BOS vs TOR,2023-04-04,1,190.0,0.7,0.684,0.7,0.506,3,2,3,15,1,1,3,11,12,4,17,23,12,7,14,18,12,7,15,22,14,6,5,6,5,6,2,1,15,26,2,1,4,2,18,22,9,6,27,28,15,15,11,7,18,15,19,26,22,28,22,17,12,4,12,17
BOS vs UTA,2023-03-30,1,236.0,0.7,0.688,0.444,0.474,2,2,20,21,1,1,23,21,9,2,23,8,11,5,12,6,9,7,18,11,7,6,11,5,3,6,7,27,14,25,30,30,3,2,15,5,4,6,22,19,12,12,22,14,5,14,24,18,22,25,19,13,11,4,22,16
BOS vs SAS,2023-03-25,1,230.0,0.6,0.689,0.3,0.257,8,2,25,28,2,1,30,30,12,4,22,25,11,7,15,16,13,7,10,6,18,9,13,25,5,6,25,27,11,25,18,21,2,2,10,23,11,6,13,25,12,14,11,4,24,16,25,25,19,25,26,29,21,4,30,29
BOS vs IND,2023-03-23,1,215.0,0.5,0.685,0.556,0.452,10,2,10,23,5,2,21,25,15,4,22,10,11,7,28,25,13,7,16,5,17,8,6,2,8,5,9,23,20,27,27,8,2,2,18,6,17,6,6,11,12,15,26,9,24,15,2,22,17,26,18,19,21,3,19,11
BOS vs POR,2023-03-07,1,208.0,0.5,0.682,0.429,0.477,9,3,17,19,17,2,24,23,6,2,22,18,6,7,29,27,8,7,26,21,5,6,7,20,23,9,10,18,16,29,7,26,4,2,10,9,9,7,11,8,3,13,29,29,16,15,14,10,22,25,15,8,15,3,5,6
BOS vs NYK,2023-03-04,0,260.0,0.625,0.703,1.0,0.585,6,1,1,6,14,2,1,7,3,4,9,6,2,8,15,2,3,8,28,26,8,6,22,24,21,8,11,5,15,29,29,30,2,2,8,7,9,6,2,20,3,16,22,6,12,14,2,22,22,25,18,4,16,3,28,22
BOS vs BKN,2023-03-02,0,220.0,0.75,0.714,0.143,0.548,3,1,28,9,8,1,29,17,4,2,24,25,7,8,30,29,4,6,26,13,8,6,12,1,17,7,4,12,17,29,21,20,1,2,11,21,2,5,15,2,5,17,27,29,9,14,26,2,24,25,21,29,13,3,5,9
BOS vs CLE,2023-02-28,1,230.0,0.75,0.71,0.625,0.609,2,1,7,4,6,1,3,2,3,6,10,13,7,8,14,17,5,7,9,10,7,6,9,19,15,8,10,17,23,29,3,12,1,2,15,18,1,7,19,11,6,16,11,20,8,14,4,5,28,25,17,18,14,2,5,17
BOS vs DET,2023-02-14,1,236.0,0.667,0.707,0.333,0.259,7,1,25,28,3,2,25,28,27,4,28,23,15,8,28,21,25,7,29,28,19,7,17,28,5,8,15,21,29,30,18,13,4,2,20,14,3,7,23,20,27,16,28,18,26,15,28,28,30,23,10,1,8,3,17,21
BOS vs MEM,2023-02-11,1,228.0,0.556,0.714,0.3,0.618,16,1,24,6,5,2,23,4,30,11,24,23,23,11,21,3,29,11,16,16,14,5,8,3,7,7,26,14,30,29,1,6,8,3,22,22,4,7,26,23,29,21,22,12,23,15,22,18,30,26,20,11,8,2,19,30
BOS vs CHA,2023-02-09,1,243.0,0.556,0.709,0.3,0.268,15,1,23,27,9,1,28,27,26,8,22,22,20,11,17,7,27,10,21,14,13,5,16,11,12,8,13,12,29,30,7,5,8,2,19,14,6,7,30,30,27,19,15,1,24,14,28,30,28,24,14,15,5,1,18,25
BOS vs PHI,2023-02-07,1,205.0,0.556,0.704,0.75,0.654,13,1,6,4,9,1,11,5,26,9,28,28,19,11,30,30,29,10,25,21,12,5,27,19,12,6,5,7,28,29,22,10,10,2,29,21,15,8,3,3,26,19,30,30,30,15,11,8,24,22,20,18,4,1,2,2
