MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
CHA vs HOU,2023-04-06,0,221.0,0.444,0.325,0.273,0.25,22,27,23,29,25,27,26,28,30,27,10,28,26,8,6,4,26,17,28,30,23,10,27,19,15,16,24,30,25,8,7,13,26,18,16,20,22,29,28,30,28,6,9,14,26,28,25,29,28,18,4,5,30,27,16,25
CHA vs TOR,2023-04-03,0,220.0,0.444,0.329,0.7,0.5,19,27,2,16,26,27,3,12,28,25,13,23,26,8,9,18,21,13,14,24,15,7,6,8,22,17,4,1,24,7,2,1,27,16,16,22,23,29,28,28,28,5,7,7,22,28,16,26,29,16,25,18,29,27,10,17
CHA vs TOR,2023-04-01,0,236.0,0.444,0.333,0.667,0.494,20,27,7,17,25,27,5,12,29,25,25,24,25,8,21,18,19,13,23,25,13,7,13,8,22,16,2,1,21,7,5,1,28,16,25,21,26,29,24,28,28,5,22,6,23,29,19,26,25,15,29,16,28,27,14,17
CHA vs CHI,2023-03-30,0,212.0,0.444,0.338,0.6,0.474,20,27,8,21,25,27,12,13,29,24,16,22,25,8,21,21,21,13,13,21,3,7,8,18,16,15,19,13,22,7,3,10,29,16,21,30,26,29,3,10,27,4,15,21,25,28,6,3,24,14,27,27,26,27,7,5
CHA vs DAL,2023-03-25,1,214.0,0.4,0.32,0.3,0.486,18,27,25,18,27,27,22,16,27,23,21,17,21,8,25,30,19,13,24,29,4,6,29,28,13,15,9,2,22,7,29,28,25,16,7,3,30,30,15,9,20,3,22,28,26,29,22,14,20,14,14,4,29,27,9,26
CHA vs IND,2023-03-19,1,224.0,0.3,0.306,0.556,0.451,27,27,10,23,28,27,23,25,27,24,21,11,20,7,27,26,24,15,22,6,1,5,2,2,20,15,2,21,25,7,25,8,27,17,17,5,27,30,8,13,21,3,24,12,29,28,6,24,21,14,23,20,25,27,17,12
CHA vs PHI,2023-03-16,0,203.0,0.455,0.31,0.7,0.676,13,27,4,4,21,27,2,3,12,17,11,24,7,6,20,29,13,11,16,19,1,5,14,14,25,16,9,5,17,7,21,10,20,16,21,22,18,29,1,1,10,2,25,30,22,26,2,8,12,13,4,9,20,27,1,1
CHA vs CLE,2023-03-13,0,224.0,0.5,0.314,0.556,0.614,8,27,8,5,18,27,9,1,16,15,22,13,9,5,25,18,18,11,21,12,4,7,13,16,24,16,5,13,15,7,7,11,20,14,17,19,12,29,16,12,13,1,22,20,26,27,13,6,9,11,21,19,23,27,19,19
CHA vs CLE,2023-03-11,0,222.0,0.556,0.319,0.5,0.609,7,27,15,5,17,27,10,2,18,16,25,15,8,5,26,20,19,11,21,10,4,7,11,17,15,15,5,14,17,7,7,12,20,14,20,19,19,29,12,12,14,1,22,21,28,28,12,6,11,13,26,19,22,27,15,20
CHA vs UTA,2023-03-10,0,230.0,0.625,0.324,0.429,0.478,6,27,19,18,16,27,19,18,23,19,25,4,13,6,20,8,22,12,27,10,13,9,1,5,17,14,26,27,17,7,26,25,24,14,19,5,23,29,30,18,20,1,25,11,28,26,24,15,10,13,12,14,24,27,15,13
