MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
CLE vs CHA,2023-04-08,0,201.0,0.75,0.63,0.444,0.321,8,5,22,27,7,2,25,27,30,25,29,27,30,25,26,8,30,19,25,16,9,15,19,9,1,6,17,16,30,16,25,8,30,24,26,17,4,10,13,29,30,27,28,6,7,5,22,28,30,21,25,18,9,19,28,27
CLE vs IND,2023-04-01,1,220.0,0.667,0.615,0.3,0.436,7,6,24,23,8,2,27,25,26,18,11,6,30,25,18,24,29,16,7,5,8,15,18,2,1,7,27,25,25,16,22,8,30,23,16,6,13,12,15,15,27,26,11,8,8,6,11,22,24,20,14,18,15,19,25,13
CLE vs NYK,2023-03-30,0,246.0,0.667,0.623,0.556,0.571,8,5,14,8,6,2,10,8,27,18,26,10,30,25,23,2,30,16,27,29,13,14,17,23,1,7,6,4,26,14,14,29,30,23,17,8,12,14,15,22,28,26,30,10,11,6,13,21,21,20,10,2,20,19,16,22
CLE vs HOU,2023-03-25,1,199.0,0.778,0.627,0.364,0.243,5,5,18,29,8,2,26,29,29,18,7,30,29,24,2,3,30,16,23,30,13,15,28,14,3,9,29,30,26,12,4,14,26,22,17,20,17,13,25,29,27,25,6,15,14,6,15,28,24,19,5,7,18,19,23,25
CLE vs WAS,2023-03-16,1,211.0,0.6,0.611,0.364,0.464,6,5,20,22,6,1,22,20,17,13,10,26,24,21,10,14,18,9,8,16,9,15,9,8,4,13,27,15,6,11,11,21,13,17,18,25,8,13,22,18,19,17,11,25,13,6,9,7,17,17,21,23,21,20,8,13
CLE vs PHI,2023-03-14,0,227.0,0.6,0.62,0.7,0.672,7,5,4,4,7,1,3,3,18,13,11,25,25,19,22,29,17,12,15,20,11,14,13,15,7,13,8,4,5,11,23,10,16,18,22,22,9,12,1,1,18,18,26,30,12,6,4,8,17,17,2,8,17,20,1,1
CLE vs BOS,2023-03-05,1,232.0,0.429,0.606,0.5,0.692,17,5,11,2,8,1,19,2,25,15,8,2,29,21,9,7,26,11,7,6,11,18,9,6,2,13,20,9,6,12,13,29,25,20,4,2,17,12,10,7,27,21,6,16,4,6,15,15,24,18,22,25,20,19,10,3
CLE vs DET,2023-03-03,1,204.0,0.429,0.6,0.0,0.238,16,5,29,29,14,2,24,28,21,16,29,27,26,21,30,23,21,12,29,29,18,19,23,28,4,13,13,22,7,13,28,15,22,20,30,16,21,12,15,20,24,22,30,21,8,5,18,27,22,18,27,1,8,19,22,21
CLE vs TOR,2023-02-25,1,211.0,0.667,0.603,0.857,0.492,3,5,3,16,3,2,7,11,2,9,18,17,5,12,14,16,2,11,21,25,4,18,5,5,24,18,9,1,1,12,4,1,7,16,25,18,22,12,23,27,1,19,15,6,6,5,21,26,6,16,11,6,7,16,30,18
CLE vs DEN,2023-02-22,0,224.0,0.875,0.623,0.75,0.695,1,4,3,2,1,2,3,3,6,10,1,4,7,13,4,20,3,10,1,2,2,18,8,21,21,16,26,21,3,13,5,10,14,17,15,26,17,12,13,1,7,19,4,23,2,5,1,1,16,18,18,20,12,18,19,25
