MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
DAL vs SAS,2023-04-08,0,255.0,0.2,0.469,0.273,0.259,27,21,23,28,20,19,30,30,17,16,9,24,27,30,9,15,23,28,5,5,22,28,23,25,6,2,22,26,28,29,8,20,3,3,7,20,11,8,25,26,20,29,1,2,13,14,28,25,23,5,15,29,7,23,25,28
DAL vs CHI,2023-04-06,0,227.0,0.3,0.475,0.583,0.475,23,20,4,20,20,17,13,13,19,16,4,22,27,30,12,22,23,29,3,21,20,28,8,18,7,2,17,10,28,29,1,7,8,3,13,30,7,8,16,15,24,29,3,21,8,14,7,3,23,4,20,26,7,23,6,5
DAL vs SAC,2023-04-04,1,242.0,0.3,0.468,0.667,0.608,24,21,2,7,19,17,4,7,14,16,2,1,24,30,2,20,23,28,2,3,23,28,14,29,12,2,16,10,27,29,9,21,8,3,1,6,5,9,8,8,25,29,3,17,5,13,15,2,13,5,2,6,7,23,16,9
DAL vs CHA,2023-03-23,0,226.0,0.333,0.493,0.3,0.311,25,15,25,27,23,15,28,27,29,17,28,24,30,30,22,6,30,29,23,13,30,28,1,5,3,2,21,15,29,25,21,7,11,3,27,16,8,9,30,30,30,28,21,2,23,14,26,29,23,4,19,15,9,26,28,27
DAL vs GSW,2023-03-21,0,252.0,0.444,0.5,0.455,0.507,19,14,12,13,21,14,16,16,25,18,4,2,30,30,3,9,30,29,1,1,30,28,4,25,7,2,30,30,28,26,8,17,10,3,1,1,4,10,14,3,29,28,3,5,21,15,22,13,23,4,18,30,12,26,9,9
DAL vs MEM,2023-03-12,0,192.0,0.375,0.5,0.556,0.606,22,14,7,6,12,13,7,6,23,18,18,22,29,30,19,4,29,29,10,20,29,28,6,3,3,2,2,5,26,24,7,7,8,3,9,19,2,9,26,24,27,29,10,10,9,15,22,19,12,3,19,15,25,26,13,30
DAL vs UTA,2023-03-06,1,236.0,0.333,0.508,0.333,0.477,25,15,25,18,13,12,23,19,26,17,30,9,30,30,17,8,30,29,29,10,30,28,1,7,2,2,27,27,28,24,30,27,14,3,24,6,1,9,30,18,30,28,29,13,8,14,26,16,17,2,19,13,21,27,19,13
DAL vs PHX,2023-03-04,0,256.0,0.333,0.516,0.667,0.547,21,14,10,9,11,12,6,9,25,17,29,21,30,30,24,10,29,29,21,3,30,28,14,10,2,2,3,13,27,24,24,13,11,3,30,17,3,9,15,5,30,27,27,9,5,15,14,24,23,3,30,27,29,28,20,12
DAL vs PHI,2023-03-01,1,259.0,0.286,0.508,0.75,0.656,21,13,3,4,15,12,3,6,15,16,11,27,26,30,12,29,14,29,14,21,27,26,12,17,2,2,14,6,28,24,14,9,4,3,13,22,5,10,10,4,25,27,17,30,7,15,12,9,17,3,3,12,19,27,1,1
DAL vs IND,2023-02-27,0,246.0,0.429,0.516,0.286,0.435,18,13,22,25,10,12,23,25,11,16,14,11,24,30,28,24,13,29,6,4,26,27,11,2,10,2,8,24,26,24,12,6,3,3,5,6,1,10,8,12,22,27,18,8,7,16,14,25,21,3,23,18,16,27,20,10
DAL vs LAL,2023-02-25,0,219.0,0.571,0.525,0.5,0.467,9,12,16,20,6,14,12,24,12,16,28,10,24,30,20,8,12,29,27,14,27,27,23,19,13,2,9,14,22,24,29,27,5,3,29,27,4,10,8,26,20,27,28,15,7,15,9,9,14,2,18,4,12,26,28,20
DAL vs SAS,2023-02-22,1,258.0,0.5,0.517,0.0,0.237,9,13,29,29,15,14,29,30,4,13,23,22,12,29,16,15,9,27,15,4,26,26,26,25,18,2,28,27,17,24,7,17,1,3,20,25,7,10,25,25,6,26,10,3,14,16,29,21,7,2,26,28,13,26,11,27
DAL vs MIN,2023-02-12,0,245.0,0.6,0.534,0.545,0.508,4,10,4,14,10,13,14,21,16,14,2,1,21,29,11,20,22,28,6,6,30,26,2,4,8,2,28,29,25,24,14,4,4,3,2,10,8,11,10,16,24,26,3,10,16,16,10,4,10,2,13,13,15,26,27,22
DAL vs NOP,2023-02-01,1,217.0,0.4,0.519,0.1,0.5,19,12,27,16,22,16,28,10,19,20,27,9,27,30,26,11,25,29,16,10,27,26,23,22,5,2,26,23,29,27,6,2,6,3,23,26,15,14,27,18,26,27,23,17,14,17,27,12,12,2,22,7,29,27,18,17
DAL vs DET,2023-01-29,1,216.0,0.3,0.51,0.25,0.255,24,13,26,29,24,16,25,29,20,18,30,16,27,29,30,17,23,29,30,26,25,25,25,28,6,2,5,20,30,26,15,12,4,3,30,15,13,13,16,17,22,25,30,17,19,18,20,26,7,2,22,1,25,27,12,21
DAL vs WAS,2023-01-23,0,253.0,0.3,0.521,0.375,0.435,21,11,21,25,26,15,21,22,19,16,30,29,27,30,29,19,28,28,29,17,25,26,28,7,9,2,2,6,30,22,29,27,7,4,30,25,12,15,16,20,26,27,30,25,19,18,20,9,5,2,28,23,24,28,8,20
DAL vs LAC,2023-01-21,0,210.0,0.4,0.532,0.3,0.5,16,10,22,13,24,13,25,24,18,15,23,20,27,30,22,7,26,28,25,22,19,24,23,15,9,2,8,25,30,22,17,20,5,4,22,11,16,15,14,6,25,27,19,17,19,17,25,21,3,2,17,16,17,27,26,23
DAL vs MIA,2023-01-19,1,205.0,0.4,0.522,0.636,0.543,17,12,5,9,26,16,5,13,21,12,13,27,29,30,6,24,27,28,13,19,17,23,28,30,5,2,18,8,30,22,1,2,9,4,10,7,16,15,24,25,27,25,5,18,13,16,22,25,6,2,13,25,23,27,1,1
DAL vs ATL,2023-01-17,0,252.0,0.5,0.533,0.5,0.5,14,10,14,16,23,15,19,21,20,12,18,15,29,30,21,17,26,28,23,24,14,24,7,11,3,2,4,3,30,22,16,17,5,4,26,26,13,15,14,24,27,26,14,8,13,18,11,17,7,2,27,27,25,27,11,4
DAL vs NOP,2023-01-06,1,244.0,0.7,0.564,0.545,0.615,3,9,7,7,14,10,12,4,20,22,7,7,25,30,4,9,30,29,8,10,8,25,10,20,2,2,29,20,27,19,6,3,2,4,10,26,20,14,8,11,24,27,5,16,20,19,22,10,9,4,2,3,18,27,13,14
DAL vs BOS,2023-01-04,0,219.0,0.8,0.579,0.444,0.684,1,9,20,1,6,9,16,2,16,21,27,5,26,30,17,17,26,29,21,7,8,26,6,9,2,2,7,4,27,15,19,26,2,4,8,3,17,14,28,9,24,28,26,19,12,15,26,11,8,4,22,23,18,28,7,1
DAL vs HOU,2022-12-28,1,243.0,0.545,0.543,0.3,0.294,7,11,27,28,15,10,26,27,5,18,25,29,11,29,1,8,16,29,25,30,6,27,10,18,10,2,22,29,29,12,8,9,1,4,17,13,20,14,29,28,7,27,9,22,23,18,27,29,3,3,25,7,20,27,21,19
