MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
DET vs BKN,2023-04-04,0,231.0,0.0,0.203,0.4,0.544,30,30,20,10,28,28,16,14,30,29,23,19,27,22,21,28,30,27,20,15,29,27,6,1,15,25,6,14,28,19,17,18,28,19,13,13,24,23,18,5,28,19,22,28,27,30,25,6,18,2,15,26,23,21,8,7
DET vs MIA,2023-04-03,0,223.0,0.0,0.205,0.5,0.526,30,30,19,11,29,28,20,23,29,29,30,30,28,20,30,28,29,29,30,25,29,27,30,30,14,24,2,8,27,19,29,6,28,19,29,10,26,23,14,27,27,19,30,26,29,30,13,27,22,2,30,19,22,21,4,2
DET vs MIL,2023-03-26,0,243.0,0.1,0.216,0.7,0.716,30,30,5,1,27,28,7,5,26,29,8,13,19,21,6,1,21,27,4,15,20,27,2,11,25,23,16,21,12,16,26,28,24,20,7,4,26,22,14,12,16,20,12,10,27,30,4,20,25,4,18,22,27,21,23,28
DET vs MIA,2023-03-18,0,212.0,0.1,0.225,0.545,0.528,30,30,7,10,28,28,20,22,24,27,10,29,15,20,22,26,25,26,12,22,17,27,26,30,24,24,28,13,14,14,15,3,24,17,13,10,30,21,7,28,18,16,17,19,28,30,11,28,25,3,2,16,26,21,2,2
DET vs DEN,2023-03-15,0,219.0,0.091,0.229,0.5,0.667,30,30,12,3,29,28,16,6,19,24,21,11,7,16,19,19,16,26,5,2,9,26,21,20,28,25,10,20,11,13,15,10,18,16,15,25,28,21,18,2,8,15,22,23,28,30,9,1,21,2,22,23,26,21,19,24
DET vs IND,2023-03-12,1,214.0,0.0,0.221,0.625,0.456,30,29,7,22,28,28,13,25,25,27,20,10,12,20,28,24,22,27,15,4,11,25,2,2,27,25,4,21,20,15,16,8,25,16,14,6,28,21,8,12,21,17,23,8,24,27,4,24,15,1,22,17,26,21,16,11
DET vs IND,2023-03-10,0,236.0,0.0,0.224,0.571,0.448,30,29,11,24,29,28,14,25,24,27,20,11,12,20,29,25,18,26,13,4,13,25,2,2,26,25,2,22,20,13,16,8,25,17,16,6,27,21,6,12,21,18,22,8,26,27,4,25,17,1,27,19,26,21,13,11
DET vs CHA,2023-03-08,0,216.0,0.0,0.227,0.571,0.313,30,29,9,27,27,28,16,27,28,26,27,19,15,21,13,7,22,26,27,12,13,26,17,9,24,24,14,14,21,14,24,7,26,15,28,14,24,21,21,29,26,19,24,1,23,26,26,27,22,1,14,14,26,21,10,26
DET vs WAS,2023-03-06,0,236.0,0.0,0.231,0.5,0.469,30,29,10,22,29,28,14,19,28,27,9,26,14,21,4,15,24,26,11,15,12,26,15,8,24,24,27,14,21,13,9,23,28,15,15,25,27,22,6,16,27,19,8,26,24,27,13,8,28,1,24,22,27,21,8,15
DET vs POR,2023-03-05,0,214.0,0.0,0.234,0.375,0.469,30,29,17,21,26,28,25,23,30,28,11,17,28,23,22,27,30,29,17,23,24,27,2,21,12,24,18,18,29,16,2,27,30,17,5,10,23,22,14,8,30,22,14,29,25,27,18,9,30,1,12,7,27,21,4,6
DET vs CHI,2023-02-28,0,232.0,0.143,0.242,0.25,0.452,27,28,23,23,26,28,14,13,25,25,20,20,21,23,9,20,24,27,18,20,15,27,21,20,19,22,24,10,26,14,18,11,22,15,22,30,28,20,25,16,22,19,13,22,26,27,15,6,13,1,20,24,17,21,13,5
DET vs TOR,2023-02-24,0,186.0,0.143,0.25,0.833,0.483,27,28,6,19,28,28,9,12,27,23,29,19,26,23,27,19,25,26,30,25,12,27,9,5,22,23,3,1,24,14,10,1,15,14,30,19,21,19,23,27,27,19,29,8,27,28,15,26,14,1,27,8,20,21,29,16
DET vs SAS,2023-02-09,1,269.0,0.25,0.25,0.0,0.255,27,28,30,28,26,29,30,30,30,24,18,26,30,21,21,24,30,27,10,4,23,28,28,26,10,21,15,26,17,12,21,21,26,15,27,29,20,19,24,25,29,17,13,7,26,28,19,17,23,1,27,29,17,22,22,28
DET vs BOS,2023-02-05,0,210.0,0.286,0.259,0.556,0.698,27,28,14,1,25,28,10,1,30,19,24,10,30,22,17,11,30,27,26,10,27,28,13,5,7,21,14,6,22,11,28,29,29,15,7,2,18,16,15,9,30,17,24,20,24,26,30,16,26,1,25,22,18,22,2,1
DET vs PHX,2023-02-03,0,216.0,0.286,0.264,0.7,0.519,27,28,3,11,25,29,16,12,30,19,22,13,30,21,8,10,30,26,6,3,27,28,8,8,5,22,15,17,23,11,19,13,29,17,21,14,18,16,17,4,30,18,13,4,22,26,29,22,28,1,13,26,16,21,12,7
DET vs CHA,2023-02-02,1,230.0,0.143,0.25,0.4,0.283,27,29,20,27,25,29,26,27,30,21,21,19,30,23,13,6,30,27,20,14,27,28,16,10,2,19,11,12,23,12,11,7,30,16,20,12,21,17,30,30,30,20,14,1,26,26,28,29,28,1,16,16,15,20,13,24
