MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
HOU vs DEN,2023-04-03,1,227.0,0.273,0.241,0.6,0.667,23,29,9,3,27,29,14,6,7,28,23,13,3,3,20,19,26,30,11,2,27,16,22,21,30,30,9,18,10,13,14,11,14,18,25,25,30,30,24,2,4,12,19,23,23,29,15,1,5,5,19,22,19,25,24,26
HOU vs LAL,2023-04-01,0,243.0,0.364,0.244,0.6,0.506,20,28,7,15,28,29,10,18,7,27,14,12,2,3,10,7,22,30,20,18,28,16,26,18,30,30,19,17,8,12,12,26,12,18,22,26,30,30,16,26,6,13,22,16,24,28,16,11,2,4,1,1,17,25,18,20
HOU vs DET,2023-03-30,1,236.0,0.273,0.234,0.111,0.211,24,29,29,30,28,29,26,28,10,27,30,29,9,3,28,20,19,30,29,28,30,15,28,27,30,30,12,25,6,13,26,18,13,18,28,19,29,30,21,21,6,13,26,19,19,27,28,30,5,5,29,3,21,26,25,21
HOU vs GSW,2023-03-19,0,229.0,0.455,0.254,0.455,0.5,10,29,10,13,24,29,15,17,9,30,4,1,2,3,4,9,21,30,2,1,23,14,11,26,25,29,29,30,11,16,14,18,18,19,2,1,26,29,11,3,7,16,4,6,13,29,19,13,9,6,15,30,23,24,8,11
HOU vs NOP,2023-03-18,0,224.0,0.455,0.257,0.333,0.471,12,28,26,21,26,29,23,15,9,30,29,22,3,4,30,17,14,30,27,11,22,14,22,23,26,29,5,20,13,17,21,2,21,21,29,28,24,29,15,19,5,17,29,20,9,27,18,12,9,9,26,10,29,26,10,17
HOU vs NOP,2023-03-16,1,226.0,0.364,0.246,0.333,0.478,20,29,25,20,27,29,26,16,8,30,29,23,4,3,29,16,11,30,26,10,23,13,26,23,24,30,6,20,5,18,18,4,19,20,28,28,25,30,27,19,4,16,28,20,14,29,21,12,13,7,27,10,28,26,11,17
HOU vs LAL,2023-03-14,1,224.0,0.3,0.235,0.7,0.493,25,29,4,15,28,29,9,22,19,30,17,9,9,4,7,6,23,30,14,15,23,13,16,16,16,29,23,15,9,17,21,27,27,20,14,24,25,30,12,26,11,17,20,11,15,29,17,10,12,7,8,3,28,25,9,19
HOU vs BOS,2023-03-12,1,220.0,0.222,0.224,0.556,0.691,29,29,7,2,27,29,14,2,19,30,13,3,9,4,8,8,22,30,8,6,21,13,6,7,16,30,11,8,10,18,23,29,28,22,7,2,23,30,7,6,9,16,11,13,15,29,16,13,14,8,26,25,28,25,24,3
HOU vs CHI,2023-03-10,0,230.0,0.25,0.227,0.571,0.455,27,29,11,24,27,29,4,14,17,30,26,25,7,3,27,23,20,30,28,23,19,13,26,22,15,30,6,9,13,20,24,12,27,22,30,30,28,30,8,16,7,16,29,25,15,30,2,5,13,8,25,24,28,25,10,5
HOU vs BKN,2023-03-06,0,214.0,0.286,0.234,0.429,0.563,25,29,15,9,26,29,24,13,21,30,23,25,15,6,28,29,21,30,23,14,15,12,8,1,10,30,8,10,14,17,12,21,25,21,8,19,26,29,22,3,14,21,25,29,19,29,28,3,13,8,18,29,28,24,3,7
HOU vs SAS,2023-03-04,1,252.0,0.143,0.222,0.286,0.25,29,30,21,28,30,29,25,30,24,30,23,23,13,4,12,16,23,30,14,4,18,12,21,25,14,30,20,26,17,19,21,20,25,19,23,26,30,30,21,25,12,21,9,4,30,29,27,21,10,7,28,28,26,25,23,27
HOU vs MEM,2023-02-28,0,212.0,0.0,0.213,0.667,0.617,30,30,11,6,30,29,4,4,26,30,28,22,18,7,28,3,23,30,28,17,19,13,10,3,17,30,1,9,16,18,13,6,27,17,26,21,30,30,27,24,20,21,28,13,28,29,20,19,12,7,29,15,18,24,27,30
HOU vs DEN,2023-02-27,0,245.0,0.0,0.217,0.75,0.694,29,30,2,2,29,29,4,3,30,30,2,4,25,6,4,15,30,30,1,2,24,13,12,20,10,30,26,23,20,18,12,10,30,18,9,23,29,30,16,1,28,22,3,21,30,30,3,1,15,8,19,20,15,24,19,25
HOU vs SAC,2023-02-07,0,258.0,0.3,0.241,0.545,0.566,25,30,6,9,28,29,12,7,19,29,8,12,7,4,12,27,20,29,7,8,2,11,20,29,29,30,23,11,26,17,14,23,28,16,4,8,28,29,20,10,19,18,9,25,14,30,7,3,8,7,13,14,30,24,6,9
HOU vs SAC,2023-02-05,0,260.0,0.3,0.245,0.5,0.558,25,30,14,9,26,29,18,7,20,30,19,14,8,4,18,27,21,29,13,8,2,11,23,29,27,30,19,11,27,16,19,24,27,17,16,8,29,29,23,12,16,19,18,24,16,30,12,3,6,8,18,16,30,24,7,9
HOU vs TOR,2023-02-02,0,228.0,0.3,0.255,0.364,0.434,26,29,20,25,27,28,17,16,21,30,6,14,6,4,6,13,22,30,14,25,3,14,4,6,29,30,6,1,22,14,4,1,27,15,13,17,29,29,20,28,17,21,3,3,15,30,21,27,8,9,10,6,30,25,19,12
