MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
MEM vs POR,2023-04-03,1,228.0,0.727,0.628,0.2,0.423,1,5,29,26,10,4,30,25,1,12,25,22,4,4,27,27,2,11,27,23,2,3,11,20,23,12,21,20,3,4,8,24,4,12,11,9,4,22,29,10,2,4,14,28,3,17,30,16,16,13,20,9,21,30,15,8
MEM vs LAC,2023-03-30,1,202.0,0.818,0.632,0.667,0.532,1,5,8,9,5,4,7,16,2,11,22,17,8,4,29,14,4,12,15,22,5,3,26,20,20,10,8,18,2,4,9,15,6,13,26,12,9,23,1,4,4,5,29,20,2,15,1,12,11,11,25,12,18,30,28,18
MEM vs LAC,2023-03-28,0,273.0,0.909,0.64,0.667,0.526,1,5,8,9,3,4,9,17,2,12,28,19,8,4,29,15,3,13,19,22,7,3,27,19,20,8,10,18,2,4,9,16,5,13,28,12,5,21,3,4,3,7,29,23,1,17,2,14,15,12,26,16,24,30,27,18
MEM vs ORL,2023-03-27,1,221.0,0.818,0.635,0.5,0.427,1,6,12,25,4,5,17,24,2,14,15,28,8,4,15,18,3,13,17,26,10,3,17,17,12,6,16,23,7,5,8,12,5,15,22,27,11,21,22,24,4,7,15,24,3,17,18,19,14,16,15,8,25,30,13,14
MEM vs HOU,2023-03-23,1,265.0,0.636,0.625,0.455,0.247,4,6,10,29,10,6,22,29,4,14,8,30,10,4,1,3,3,15,23,30,11,3,27,14,11,7,29,29,6,6,4,14,6,15,17,18,18,25,25,29,4,8,6,12,17,19,14,28,13,12,5,6,26,30,20,25
MEM vs HOU,2023-03-21,1,255.0,0.636,0.62,0.455,0.25,3,6,12,29,9,4,23,28,7,14,9,30,8,4,1,3,3,15,24,30,8,3,25,14,12,7,28,29,7,6,5,15,6,15,17,18,11,25,27,30,5,7,6,16,19,19,20,29,14,13,4,6,26,30,22,24
MEM vs DAL,2023-03-19,1,220.0,0.636,0.614,0.444,0.507,4,6,21,13,6,5,18,13,6,15,24,20,11,4,29,30,4,17,29,29,4,3,30,28,5,7,3,2,5,6,29,26,6,15,11,3,15,24,5,9,2,7,28,29,16,18,15,14,16,15,21,4,24,30,19,26
MEM vs GSW,2023-03-17,1,252.0,0.636,0.609,0.545,0.507,4,6,7,13,5,6,9,15,5,17,3,1,8,4,3,8,4,17,1,1,7,3,12,27,7,8,30,30,3,6,6,15,7,16,1,1,20,25,10,3,2,7,4,5,19,19,16,13,21,13,24,30,19,30,11,11
MEM vs DAL,2023-03-10,1,220.0,0.5,0.6,0.429,0.507,11,6,19,13,8,6,11,12,17,22,22,17,19,4,30,30,9,19,29,29,6,3,30,28,2,6,4,2,6,6,24,24,9,20,8,3,22,24,2,9,8,9,27,29,25,20,10,14,18,15,14,3,17,30,25,26
MEM vs GSW,2023-03-08,1,241.0,0.429,0.594,0.625,0.515,16,7,4,13,13,6,7,13,22,24,8,3,22,5,4,11,19,20,3,1,6,3,15,27,1,5,28,29,9,6,11,19,15,22,1,1,27,24,17,4,10,12,5,7,27,21,22,13,22,15,19,30,12,30,4,10
MEM vs LAL,2023-02-27,1,230.0,0.667,0.61,0.571,0.475,10,6,10,20,5,4,11,24,29,25,17,9,27,4,7,8,29,18,15,13,7,3,19,19,1,9,17,13,15,8,27,26,26,22,24,26,21,24,18,26,27,15,18,12,18,19,11,9,25,15,7,4,28,30,29,20
MEM vs DEN,2023-02-24,1,206.0,0.5,0.603,0.75,0.7,17,6,2,2,12,5,5,3,30,24,7,8,28,3,5,20,29,17,2,2,3,3,7,21,1,9,27,21,15,8,6,10,29,22,15,25,22,24,16,1,30,13,7,24,23,21,1,1,25,11,18,21,27,30,16,25
MEM vs UTA,2023-02-14,1,228.0,0.333,0.607,0.444,0.492,25,6,19,16,18,4,24,15,29,24,26,2,27,3,23,7,26,17,24,9,5,3,11,10,14,12,11,24,5,7,30,24,28,21,16,4,26,24,18,13,30,14,26,8,15,17,9,14,21,13,23,11,24,30,13,12
MEM vs MIN,2023-02-09,1,235.0,0.2,0.611,0.636,0.517,27,6,4,10,25,4,5,15,23,22,5,1,16,3,9,17,13,16,9,5,5,3,3,4,26,13,29,29,3,6,10,3,20,20,1,9,29,24,12,16,16,12,5,5,29,20,12,4,11,12,9,10,25,30,27,23
MEM vs CHI,2023-02-06,1,193.0,0.2,0.604,0.667,0.491,26,6,7,19,26,4,3,14,22,21,26,23,12,3,22,24,15,15,25,22,7,3,18,19,23,15,10,7,2,7,14,12,18,20,30,30,29,24,22,9,13,9,27,24,28,20,2,4,13,11,26,24,23,30,5,5
MEM vs TOR,2023-02-04,0,209.0,0.3,0.615,0.455,0.444,25,5,14,24,22,5,15,14,18,19,6,13,11,3,7,14,15,16,14,25,9,3,4,6,19,14,3,1,2,7,3,1,16,19,12,17,26,24,22,28,15,10,3,4,28,20,21,27,14,11,10,7,22,30,20,13
MEM vs POR,2023-01-31,0,234.0,0.5,0.64,0.5,0.48,14,4,14,19,13,3,15,16,13,20,10,25,9,3,25,26,15,15,19,24,5,3,11,24,20,13,3,18,3,6,28,30,17,20,8,16,21,23,13,7,9,9,21,28,22,20,2,8,11,8,5,9,25,30,2,13
MEM vs IND,2023-01-28,1,212.0,0.545,0.633,0.182,0.471,12,5,26,19,15,3,28,25,3,18,8,4,4,2,9,20,7,14,11,5,6,3,2,2,26,14,27,26,1,6,4,5,14,19,5,5,16,22,24,12,2,9,4,7,22,21,30,25,5,9,2,13,29,30,12,6
MEM vs CLE,2023-01-17,1,229.0,1.0,0.698,0.6,0.622,1,3,9,5,1,2,12,3,12,17,22,23,3,3,19,19,8,17,20,21,2,3,22,26,15,10,9,16,3,9,22,25,23,21,22,20,8,19,23,14,8,12,23,23,4,13,10,7,16,12,9,11,30,30,28,17
MEM vs PHX,2023-01-15,1,242.0,0.9,0.69,0.2,0.477,1,3,28,17,2,2,28,10,16,20,28,15,5,3,23,13,14,17,19,7,2,3,28,11,14,10,29,16,3,9,24,15,26,22,28,15,11,18,2,3,14,10,27,8,8,15,27,21,13,11,29,28,30,30,4,8
MEM vs SAS,2023-01-10,1,264.0,0.8,0.675,0.273,0.317,1,2,23,27,3,2,26,30,14,18,5,23,3,2,6,19,10,15,5,5,2,2,20,25,14,10,26,26,4,9,13,15,22,20,27,23,29,22,19,18,9,9,2,6,16,17,9,13,6,10,13,28,29,30,20,29
MEM vs SAS,2023-01-08,1,234.0,0.7,0.667,0.364,0.325,7,3,18,27,4,3,25,30,17,20,4,23,5,2,7,21,10,15,3,6,1,3,12,23,16,11,26,25,2,9,14,18,23,19,27,22,30,23,16,18,12,9,2,8,19,19,6,13,10,13,13,27,27,30,23,29
MEM vs UTA,2023-01-07,1,241.0,0.667,0.658,0.3,0.476,8,4,23,14,5,2,17,13,27,24,11,1,14,3,17,6,20,16,14,3,5,3,25,13,11,9,8,26,9,12,12,9,29,22,3,2,30,25,20,12,23,15,13,1,16,18,23,15,19,13,7,8,28,30,5,15
MEM vs SAC,2022-12-31,1,226.0,0.556,0.629,0.5,0.559,12,7,12,13,4,4,22,12,27,22,12,25,13,3,21,29,22,17,11,13,1,4,30,30,7,11,11,5,15,12,22,27,27,20,14,13,30,21,24,15,27,13,17,28,13,19,11,3,21,12,7,15,20,30,25,18
MEM vs NOP,2022-12-30,1,217.0,0.5,0.618,0.6,0.657,20,7,6,2,5,4,12,2,30,26,8,9,27,3,11,15,30,17,7,8,6,5,21,20,2,7,28,18,27,18,2,2,29,22,21,28,29,17,14,11,29,17,14,20,14,20,12,6,27,12,2,4,22,30,21,15
MEM vs PHX,2022-12-26,0,233.0,0.625,0.625,0.3,0.559,11,7,22,10,3,4,25,5,30,24,12,5,21,4,11,14,26,21,5,3,1,3,2,5,3,8,9,4,16,17,15,13,27,21,7,9,29,19,12,7,29,17,5,4,11,20,29,15,19,13,18,27,29,30,24,15
MEM vs MIL,2022-12-14,1,243.0,0.889,0.667,0.8,0.741,1,3,1,2,1,6,4,4,25,21,15,28,16,5,7,4,16,16,7,21,2,5,6,4,11,14,14,16,14,15,30,30,24,19,13,9,9,14,7,17,26,15,16,21,9,17,13,23,22,15,21,20,29,30,15,27
MEM vs ATL,2022-12-11,1,231.0,0.778,0.654,0.364,0.519,5,4,20,11,4,6,20,18,27,18,9,9,14,3,9,8,22,16,16,21,5,8,11,16,7,10,21,3,13,15,6,14,27,17,9,26,15,15,28,29,27,11,3,3,17,20,19,18,17,13,21,26,29,30,7,4
MEM vs DET,2022-12-08,1,217.0,0.7,0.64,0.364,0.259,3,3,19,26,4,8,22,29,11,9,8,4,3,1,17,7,11,16,11,20,6,7,26,27,13,16,15,22,5,15,11,13,15,15,8,7,13,13,7,18,12,5,6,3,20,20,14,29,5,11,13,1,29,30,21,21
MEM vs OKC,2022-12-06,1,225.0,0.667,0.625,0.5,0.458,10,5,13,19,8,9,19,16,25,10,11,5,12,1,16,11,24,16,19,17,13,9,8,5,4,15,15,11,17,20,14,4,25,14,15,12,14,13,15,20,23,7,8,3,22,21,19,20,8,7,8,23,29,30,6,13
MEM vs MIA,2022-12-04,1,194.0,0.556,0.609,0.5,0.478,12,6,12,18,9,10,22,18,25,12,24,26,10,2,22,27,25,17,24,21,10,12,22,28,4,16,15,8,24,21,20,9,25,16,11,10,13,11,22,24,25,7,18,24,26,22,27,25,7,6,22,23,29,30,6,2
MEM vs PHI,2022-12-01,1,226.0,0.444,0.571,0.7,0.545,19,9,2,9,16,13,8,7,25,19,20,22,10,2,24,28,25,24,21,23,20,14,14,20,9,14,18,15,21,23,2,2,25,17,26,18,24,12,15,10,21,9,23,26,28,22,9,12,9,10,15,14,30,30,10,6
MEM vs NOP,2022-11-24,1,243.0,0.5,0.556,0.636,0.611,15,10,3,5,10,15,2,2,19,15,3,5,1,2,3,11,19,19,5,6,11,13,15,24,7,12,19,13,18,19,3,2,17,14,17,27,23,15,10,4,10,8,5,12,23,22,8,4,17,8,4,17,29,30,23,23
MEM vs SAC,2022-11-21,0,222.0,0.6,0.588,0.778,0.6,6,6,3,14,9,13,2,7,19,13,16,26,2,3,29,30,20,20,14,15,18,16,30,30,7,11,1,2,23,22,21,27,15,14,19,18,20,14,6,5,13,8,25,30,21,23,1,1,18,11,17,22,28,30,6,13
MEM vs OKC,2022-11-17,1,231.0,0.5,0.6,0.5,0.467,16,5,16,17,14,15,18,17,21,14,12,8,5,2,18,13,22,20,17,14,17,14,3,3,15,18,15,10,20,23,9,2,22,17,20,14,22,13,12,20,13,8,12,6,22,20,4,14,22,20,25,26,30,30,26,23
MEM vs MIN,2022-11-10,1,217.0,0.636,0.667,0.364,0.417,6,4,22,16,13,13,21,19,3,4,8,7,6,3,10,10,15,14,6,6,16,14,10,11,20,18,25,24,19,22,14,15,14,13,12,11,4,4,24,27,5,5,10,10,4,15,3,9,11,15,14,10,28,29,19,17
MEM vs BOS,2022-11-06,0,215.0,0.7,0.7,0.667,0.667,4,4,6,6,9,9,8,8,4,4,15,15,3,3,28,28,15,15,18,18,11,11,16,16,19,19,7,7,16,16,29,29,12,12,3,3,6,6,3,3,3,3,27,27,15,15,6,6,4,4,20,20,30,30,2,2
MEM vs WAS,2022-11-05,1,200.0,0.667,0.667,0.444,0.444,5,5,17,17,11,11,27,27,14,14,25,25,10,10,23,23,16,16,23,23,7,7,8,8,16,16,10,10,21,21,26,26,16,16,29,29,3,3,27,27,16,16,24,24,11,11,14,14,10,10,22,22,30,30,6,6
MEM vs CHA,2022-11-03,1,229.0,0.625,0.625,0.375,0.375,5,5,21,21,20,20,19,19,10,10,16,16,12,12,8,8,20,20,6,6,12,12,8,8,17,17,19,19,15,15,12,12,12,12,21,21,5,5,12,12,14,14,10,10,14,14,19,19,5,5,16,16,30,30,29,29
