MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
MIL vs MEM,2023-04-06,0,251.0,0.8,0.725,0.75,0.625,2,1,1,6,5,3,7,5,12,6,1,9,7,1,1,2,8,12,1,10,14,11,3,3,13,21,26,12,22,28,3,4,6,4,2,12,10,11,6,23,14,7,1,4,4,19,6,17,24,21,8,13,29,29,17,30
MIL vs CHI,2023-04-04,1,197.0,0.7,0.722,0.583,0.481,3,1,3,19,12,4,10,12,8,7,3,19,10,1,11,23,8,12,4,21,12,11,4,18,16,21,21,9,23,27,1,8,7,4,9,30,13,10,14,15,12,8,4,21,2,17,7,3,20,21,10,25,29,29,6,5
MIL vs PHI,2023-04-01,1,221.0,0.7,0.714,0.636,0.662,3,1,3,3,11,5,3,3,6,10,4,17,8,1,7,27,7,12,10,17,10,11,2,13,15,19,26,9,27,28,3,9,6,4,10,17,19,13,10,1,8,9,9,30,2,19,6,7,10,21,3,6,27,28,3,1
MIL vs BOS,2023-03-29,0,239.0,0.727,0.724,0.667,0.684,2,1,6,2,5,4,1,1,3,8,24,4,1,1,24,8,2,12,21,7,1,11,13,6,25,21,3,6,21,28,24,27,3,4,8,2,15,11,12,6,5,9,27,14,4,18,10,14,12,21,29,27,26,28,13,4
MIL vs SAS,2023-03-21,1,224.0,0.7,0.718,0.4,0.264,3,1,19,28,4,4,27,30,10,13,17,25,12,1,15,17,6,17,8,4,4,10,16,26,14,20,25,27,29,28,16,20,5,4,11,23,3,11,7,23,15,12,12,4,2,20,25,24,13,22,26,29,16,28,30,29
MIL vs TOR,2023-03-18,1,229.0,0.727,0.714,0.5,0.493,3,1,12,15,3,5,14,12,4,13,22,17,4,1,14,15,4,17,12,24,5,10,19,9,23,21,8,1,26,28,1,1,3,4,23,22,5,11,13,26,6,12,11,4,7,20,21,26,11,22,30,11,19,29,8,18
MIL vs IND,2023-03-15,0,263.0,0.818,0.725,0.556,0.449,1,1,12,23,1,4,16,25,5,12,23,13,3,1,30,25,3,16,20,6,7,10,2,2,18,22,1,20,26,27,22,8,2,4,16,6,4,11,11,14,4,10,25,13,8,22,6,25,15,21,24,19,21,29,24,11
MIL vs BKN,2023-03-08,1,231.0,0.875,0.723,0.429,0.569,1,1,16,9,1,4,24,11,3,16,24,25,3,1,27,29,5,19,25,15,13,12,3,1,14,18,8,12,27,29,7,20,3,4,7,18,5,11,28,3,6,14,23,29,7,20,29,3,11,22,12,28,13,29,3,8
MIL vs PHI,2023-03-03,0,263.0,1.0,0.726,0.625,0.645,3,1,6,4,2,4,5,6,26,23,11,25,17,1,14,29,27,21,12,20,27,13,13,18,3,18,18,6,30,28,15,9,8,4,18,22,5,13,7,3,26,17,17,30,13,23,11,8,29,25,2,13,29,29,1,1
MIL vs ORL,2023-02-28,1,256.0,1.0,0.721,0.571,0.419,1,1,11,26,1,5,18,26,21,19,27,27,5,1,22,22,15,19,25,29,18,12,15,16,8,19,21,24,27,26,10,16,5,4,25,27,14,14,21,23,16,14,24,25,18,23,25,18,25,23,18,5,29,29,16,13
MIL vs PHX,2023-02-25,1,205.0,1.0,0.712,0.667,0.541,3,2,9,10,1,6,10,9,25,23,29,18,12,2,27,10,25,19,20,3,26,13,20,10,3,20,5,17,29,26,5,12,9,6,27,15,6,15,27,7,25,18,26,9,13,23,14,22,29,23,24,26,24,29,15,10
MIL vs MIA,2023-02-23,1,227.0,1.0,0.707,0.5,0.542,1,3,16,11,2,6,20,18,27,24,30,29,16,1,29,26,26,19,30,25,22,12,24,30,5,20,3,6,29,27,22,3,10,6,30,10,12,15,28,28,27,19,30,24,10,23,30,29,29,23,24,24,26,29,2,2
MIL vs BOS,2023-02-13,1,256.0,1.0,0.696,0.667,0.719,1,3,8,1,2,6,3,1,25,26,28,10,5,2,16,9,30,22,27,9,21,13,14,5,7,20,5,6,26,27,29,30,10,6,7,2,15,16,3,7,24,18,30,21,11,22,24,15,26,22,28,24,30,29,9,3
