MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
MIN vs NOP,2023-04-08,1,221.0,0.667,0.506,0.818,0.519,8,16,1,14,15,20,2,10,27,12,5,15,24,23,6,12,19,8,6,10,24,4,21,23,7,26,22,21,20,5,11,4,29,15,24,29,2,14,1,13,26,18,13,17,11,4,5,11,20,15,12,10,29,24,2,11
MIN vs POR,2023-04-01,0,212.0,0.5,0.5,0.1,0.416,14,15,29,26,19,20,30,26,11,8,23,22,15,23,27,28,6,8,28,23,22,4,10,19,20,28,25,20,12,5,9,24,18,13,11,9,6,16,29,10,12,17,15,28,14,5,30,16,6,14,18,9,29,24,13,7
MIN vs LAL,2023-03-30,0,234.0,0.5,0.506,0.6,0.5,14,14,8,16,18,20,9,19,12,9,15,12,13,23,15,7,5,8,22,18,19,4,23,17,20,28,25,17,13,5,17,26,18,14,18,26,6,16,16,26,14,17,23,16,10,4,12,11,4,15,2,1,29,24,17,20
MIN vs ATL,2023-03-21,1,249.0,0.444,0.493,0.5,0.5,19,14,12,14,20,20,14,19,22,5,13,5,27,23,14,10,11,8,20,19,10,4,20,12,8,28,13,3,21,3,16,21,25,12,23,29,6,15,22,20,25,15,11,3,3,3,8,9,14,14,12,25,29,23,15,4
MIN vs BOS,2023-03-14,0,206.0,0.5,0.507,0.5,0.681,20,14,10,2,13,18,12,2,29,11,13,5,29,24,10,8,27,10,10,7,4,4,7,7,6,27,12,9,13,5,22,29,28,13,6,2,7,16,10,5,28,19,13,15,7,3,16,14,29,19,25,26,30,23,18,3
MIN vs BKN,2023-03-09,0,247.0,0.5,0.507,0.375,0.561,17,13,17,9,18,21,24,11,29,9,13,21,30,23,18,28,29,9,18,13,3,4,3,1,7,27,14,13,16,4,3,19,25,13,5,16,9,17,25,3,30,18,9,27,14,4,30,3,29,16,11,28,30,22,2,8
MIN vs PHI,2023-03-06,0,211.0,0.5,0.515,0.625,0.656,15,12,5,4,17,18,8,5,29,4,6,20,27,23,20,28,27,8,8,16,5,4,14,19,11,28,11,6,12,4,17,9,27,12,12,20,9,17,2,2,28,16,14,30,14,4,9,7,30,16,1,7,30,23,1,1
MIN vs CHA,2023-02-23,0,234.0,0.429,0.508,0.286,0.283,16,14,25,27,20,19,24,27,17,3,20,19,25,24,21,8,16,9,18,12,14,4,2,8,19,28,13,14,20,4,2,6,12,12,19,14,9,20,18,30,20,13,19,1,4,4,12,27,27,14,12,16,9,21,30,28
MIN vs WAS,2023-02-15,0,220.0,0.6,0.517,0.556,0.474,8,13,12,22,13,19,6,17,10,3,28,28,18,24,27,19,7,8,23,16,12,4,7,7,26,28,18,10,20,4,24,24,8,11,28,26,10,18,2,17,14,13,30,27,5,4,2,7,23,14,25,19,27,22,5,15
MIN vs DEN,2023-02-04,1,226.0,0.545,0.509,0.727,0.698,6,12,2,1,14,20,2,3,8,2,7,9,10,18,12,21,10,9,2,2,2,4,12,20,28,28,25,19,5,4,1,10,2,11,12,27,14,18,12,1,7,15,10,21,18,5,3,1,9,12,11,21,26,23,28,26
MIN vs ORL,2023-02-02,0,247.0,0.667,0.519,0.4,0.385,1,11,20,26,8,19,21,26,1,2,17,26,8,17,22,22,4,9,18,28,2,4,19,17,27,28,18,21,1,4,14,18,2,11,21,23,17,19,18,22,1,14,22,24,10,4,17,17,6,12,4,6,26,23,14,12
MIN vs GSW,2023-01-31,1,233.0,0.583,0.509,0.667,0.52,3,11,10,15,14,20,6,19,1,2,21,11,10,21,22,18,3,9,5,1,3,4,28,27,30,29,22,28,1,4,12,19,2,11,5,1,12,19,1,5,1,15,23,18,8,4,10,13,6,12,28,30,21,22,12,9
MIN vs SAC,2023-01-29,0,229.0,0.636,0.519,0.7,0.563,5,10,5,10,13,18,1,6,4,3,10,17,19,22,17,27,11,8,4,10,5,4,27,29,28,29,11,9,2,3,28,30,6,12,7,9,7,19,2,8,8,15,18,27,8,4,2,3,20,14,11,17,14,18,6,9
MIN vs SAC,2023-01-27,1,227.0,0.636,0.51,0.7,0.574,4,12,4,9,12,19,1,6,3,4,4,19,21,22,17,27,11,8,2,9,4,4,24,29,28,28,11,10,2,2,26,30,6,12,9,9,7,19,1,8,5,13,18,27,9,4,2,3,14,12,11,17,13,19,5,7
MIN vs MEM,2023-01-26,1,211.0,0.636,0.5,0.6,0.646,4,14,9,3,11,19,8,3,5,3,17,16,24,23,11,2,15,11,17,13,4,4,6,3,27,28,13,13,4,2,3,7,8,16,23,19,5,19,14,22,13,18,11,7,5,4,19,20,16,13,8,8,10,17,29,30
MIN vs HOU,2023-01-20,1,217.0,0.636,0.489,0.0,0.222,5,16,30,30,12,21,30,28,6,3,27,30,23,23,15,6,8,9,24,30,7,4,13,18,29,27,25,29,5,4,25,14,12,17,11,12,6,19,28,29,12,18,22,20,3,3,25,30,12,14,20,12,12,17,29,23
