MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
NYK vs IND,2023-04-08,0,277.0,0.556,0.58,0.2,0.42,14,8,27,24,12,7,26,25,23,13,18,10,28,3,22,24,24,29,12,6,18,24,16,2,8,3,30,23,12,26,21,10,17,8,27,7,5,20,14,15,27,12,17,11,2,21,16,22,20,3,10,16,30,22,18,13
NYK vs WAS,2023-04-01,1,227.0,0.667,0.577,0.3,0.442,7,8,24,23,7,8,23,22,22,9,19,23,24,2,17,15,26,29,16,15,13,23,6,10,6,4,11,15,12,29,25,23,17,8,14,24,5,21,25,17,29,10,14,21,1,21,18,8,9,2,25,24,24,22,12,15
NYK vs MIA,2023-03-28,1,193.0,0.444,0.566,0.5,0.526,20,8,14,9,12,7,21,23,26,8,21,30,21,2,27,26,27,28,22,25,18,23,26,30,3,4,26,11,17,29,19,6,13,8,18,10,24,22,11,27,28,10,25,25,18,22,14,27,10,2,9,17,15,22,2,2
NYK vs HOU,2023-03-26,1,252.0,0.333,0.56,0.273,0.24,23,8,23,29,18,7,29,29,29,10,10,28,21,2,2,3,29,29,28,30,20,23,29,15,2,4,30,30,26,29,7,14,13,8,17,17,29,23,30,30,29,9,5,14,24,23,22,28,10,2,7,5,15,22,22,26
NYK vs MIN,2023-03-19,0,274.0,0.7,0.583,0.444,0.486,4,8,21,15,4,7,17,20,16,9,25,8,10,2,25,22,28,28,18,8,26,24,8,4,13,4,10,28,23,30,18,5,10,8,25,12,24,23,10,17,18,8,25,15,14,25,11,5,7,3,17,16,28,22,30,23
NYK vs DEN,2023-03-17,1,226.0,0.7,0.577,0.5,0.671,4,8,13,3,3,7,14,4,15,10,18,9,7,2,17,19,27,29,3,2,20,24,18,18,15,4,9,20,27,30,14,10,9,8,15,26,16,22,22,2,20,8,19,21,11,25,7,1,7,4,16,23,28,22,22,24
NYK vs CHA,2023-03-06,0,217.0,1.0,0.591,0.571,0.303,1,6,10,27,1,7,18,27,12,5,25,19,11,2,9,5,28,28,26,12,24,24,11,9,18,5,18,15,29,30,14,7,9,7,26,14,4,20,18,30,20,7,23,1,2,22,29,28,15,4,11,13,29,22,16,26
NYK vs BKN,2023-02-28,1,260.0,0.857,0.571,0.286,0.557,2,7,23,9,2,7,27,15,19,10,24,24,15,2,26,28,29,28,26,13,23,24,21,1,3,4,4,11,30,30,22,22,13,8,9,20,11,22,15,2,25,6,27,29,7,24,27,2,13,4,19,29,26,22,8,9
NYK vs BOS,2023-02-26,1,203.0,0.857,0.565,0.875,0.721,3,7,1,1,3,7,4,1,17,11,3,6,14,2,3,8,30,28,5,7,26,24,11,6,3,4,18,8,30,30,25,28,12,8,2,2,13,23,1,6,23,7,8,17,8,24,6,14,22,4,26,26,26,22,13,3
NYK vs NOP,2023-02-24,1,234.0,0.75,0.557,0.571,0.5,2,7,10,15,4,8,15,11,9,11,21,15,4,2,19,11,24,29,21,11,26,24,30,23,3,4,13,22,27,30,10,2,5,8,26,29,8,23,10,18,6,5,26,18,17,24,8,11,3,4,18,7,25,23,22,18
