MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
ORL vs CLE,2023-04-05,0,212.0,0.6,0.43,0.75,0.625,11,23,11,5,12,24,13,2,21,28,29,22,18,18,29,25,20,27,29,18,8,15,13,14,18,23,1,7,11,13,29,18,23,28,30,24,21,24,4,11,20,24,29,25,14,20,7,6,15,8,30,20,12,16,10,19
ORL vs CLE,2023-04-03,0,230.0,0.6,0.436,0.667,0.62,9,23,9,5,12,24,9,2,17,27,27,18,11,17,29,25,16,26,28,17,2,14,5,15,20,23,1,7,9,12,26,16,18,27,30,23,21,24,8,12,13,24,26,25,19,20,7,6,8,8,28,20,14,16,18,19
ORL vs DET,2023-04-01,1,230.0,0.556,0.429,0.111,0.208,14,25,29,30,16,24,26,28,27,28,30,29,23,17,28,20,23,26,30,28,8,14,29,27,9,23,13,24,16,14,23,18,27,27,26,19,27,24,22,22,25,23,26,20,21,20,27,30,27,8,30,3,8,14,22,21
ORL vs BKN,2023-03-25,1,225.0,0.4,0.419,0.455,0.541,18,26,13,9,19,25,11,14,15,27,10,20,18,18,7,28,15,26,14,12,18,16,6,1,17,23,15,13,3,13,5,19,19,27,6,13,21,24,20,4,15,24,8,27,18,20,29,4,15,8,6,27,13,14,7,8
ORL vs NYK,2023-03-22,1,217.0,0.4,0.411,0.5,0.568,20,26,10,8,21,26,19,7,14,25,15,6,15,16,10,2,15,26,27,28,23,17,20,24,21,25,15,5,2,13,19,29,21,27,10,8,21,23,27,22,12,24,19,8,14,18,17,23,17,6,6,2,17,15,22,22
ORL vs WAS,2023-03-20,1,234.0,0.3,0.403,0.364,0.451,27,26,22,23,25,26,25,23,17,25,10,26,15,15,7,13,21,27,9,17,24,17,10,7,16,24,25,15,9,13,12,23,19,27,24,26,29,25,23,18,13,22,8,26,15,19,11,8,16,6,21,22,23,17,3,13
ORL vs MIA,2023-03-10,1,240.0,0.375,0.403,0.444,0.529,19,26,11,11,22,26,26,23,15,26,9,29,17,19,15,24,23,27,9,24,20,19,20,30,16,24,28,12,13,14,17,4,20,26,11,10,29,23,17,27,13,24,12,20,19,18,18,29,7,5,2,17,23,16,3,2
ORL vs UTA,2023-03-08,0,255.0,0.429,0.409,0.333,0.47,16,26,26,20,22,26,23,20,20,27,29,8,17,19,23,8,26,28,30,11,21,19,1,6,18,25,25,27,18,16,27,26,23,26,22,5,30,23,29,18,15,25,30,13,18,18,28,17,8,5,14,13,18,15,21,14
ORL vs MIL,2023-03-06,0,257.0,0.429,0.415,0.875,0.719,15,26,1,1,22,26,2,4,22,28,4,18,21,20,2,1,24,27,5,18,22,18,15,13,21,24,16,18,21,15,27,29,23,27,2,4,28,23,3,11,24,25,3,14,17,18,12,24,9,5,11,25,11,14,24,29
ORL vs POR,2023-03-04,0,241.0,0.571,0.422,0.286,0.46,10,26,21,22,21,26,26,23,22,28,19,19,20,20,28,27,25,28,24,25,14,16,5,22,26,25,10,18,23,17,6,28,24,27,5,12,28,23,12,8,18,25,21,28,20,18,18,9,11,5,17,11,12,13,6,6
ORL vs IND,2023-02-24,0,229.0,0.571,0.417,0.143,0.426,10,26,27,25,17,25,26,26,26,27,22,9,20,22,29,24,23,26,11,5,17,17,12,2,17,24,10,25,12,15,19,6,27,27,11,6,20,21,15,11,21,25,20,7,25,18,22,25,23,5,21,18,17,15,24,9
ORL vs DET,2023-02-22,1,214.0,0.571,0.407,0.286,0.254,9,26,25,28,11,26,28,28,24,27,27,23,17,21,22,24,22,27,21,26,20,16,14,27,18,24,23,21,7,15,22,14,29,27,16,14,14,21,24,20,20,25,18,18,19,17,28,28,13,5,8,1,22,14,21,22
ORL vs MIA,2023-02-10,0,210.0,0.545,0.411,0.667,0.554,6,26,6,8,18,26,15,17,9,26,29,30,8,19,27,26,16,28,30,25,13,16,30,30,21,20,3,7,9,17,9,4,17,28,28,11,17,21,25,28,9,25,28,21,19,17,30,29,1,6,24,24,20,14,4,2
ORL vs DEN,2023-02-08,1,219.0,0.545,0.4,0.6,0.691,6,26,6,2,16,26,4,3,8,26,14,6,11,21,20,22,11,28,6,2,12,16,13,21,23,22,21,21,17,18,4,10,17,27,19,26,14,21,6,1,12,26,20,22,17,17,1,1,1,5,21,20,13,13,27,26
