MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
PHI vs MIA,2023-04-05,0,230.0,0.545,0.658,0.5,0.532,11,3,20,11,9,3,21,22,11,17,30,30,14,28,30,29,19,19,29,25,7,13,30,30,25,9,2,7,10,10,28,6,9,18,28,11,14,1,19,27,14,30,30,27,11,7,18,27,6,7,29,19,2,1,1,2
PHI vs BOS,2023-04-03,1,204.0,0.545,0.654,0.778,0.692,9,4,2,2,7,3,1,1,6,15,22,4,7,26,22,7,12,18,18,7,2,13,15,6,28,11,3,6,5,9,17,26,8,17,5,2,11,1,9,6,9,30,25,14,11,7,12,15,4,7,26,27,3,1,11,4
PHI vs TOR,2023-03-30,1,227.0,0.636,0.658,0.667,0.5,2,4,8,16,3,3,4,11,4,16,25,25,7,27,18,17,11,16,26,25,1,13,13,8,23,8,2,1,4,9,1,1,10,17,27,21,10,1,25,28,10,30,21,7,7,8,18,26,3,6,30,16,3,1,13,17
PHI vs DAL,2023-03-28,1,224.0,0.6,0.653,0.3,0.487,8,4,24,18,4,3,19,16,13,17,19,15,15,27,23,30,17,18,21,27,5,13,22,27,16,7,7,2,10,9,29,25,18,17,6,3,13,2,9,9,23,30,22,28,7,8,25,16,5,7,20,4,4,1,9,24
PHI vs CHI,2023-03-19,0,214.0,0.818,0.686,0.556,0.471,1,3,10,22,1,3,10,11,3,19,26,29,12,28,28,23,6,18,25,23,4,13,21,21,17,6,6,8,7,9,14,11,14,22,30,30,1,1,2,11,17,30,29,26,1,7,2,3,2,8,27,25,1,1,5,5
PHI vs WAS,2023-03-11,1,205.0,0.667,0.667,0.333,0.463,3,4,22,22,6,3,22,20,7,23,16,24,19,29,15,13,11,20,8,13,16,18,19,9,10,5,26,17,20,9,12,22,16,22,23,23,1,1,9,16,19,30,16,23,7,8,6,7,1,8,27,21,1,1,13,14
PHI vs POR,2023-03-09,1,239.0,0.625,0.662,0.375,0.47,4,4,17,21,6,5,28,24,6,24,11,17,17,29,19,27,10,20,14,22,14,17,6,20,12,6,23,18,20,9,6,26,15,22,7,9,1,1,15,8,17,30,15,29,8,8,21,10,1,8,6,7,1,1,6,6
PHI vs MIA,2023-02-26,0,200.0,0.714,0.661,0.429,0.525,7,4,18,12,8,5,23,23,23,28,28,29,26,30,24,25,26,20,27,25,15,18,20,30,2,5,11,7,20,10,20,4,22,22,19,9,12,4,29,28,28,30,27,23,17,9,30,29,10,15,5,21,2,1,3,2
PHI vs BOS,2023-02-24,0,217.0,0.714,0.672,0.857,0.717,6,4,2,1,10,4,3,1,24,28,12,5,25,30,9,8,27,20,9,6,14,16,15,7,2,6,10,8,22,9,26,28,22,20,3,2,17,4,1,6,28,30,17,17,24,10,10,14,10,17,29,25,2,1,12,2
PHI vs MEM,2023-02-22,1,215.0,0.714,0.667,0.5,0.614,5,4,15,6,8,5,13,4,20,28,30,24,25,30,29,3,23,19,30,17,24,19,3,3,3,6,5,10,16,9,10,6,21,20,30,21,8,4,10,24,27,30,30,12,9,8,12,19,4,16,28,10,5,1,24,30
PHI vs CLE,2023-02-14,1,230.0,0.7,0.661,0.818,0.633,3,5,2,4,7,5,1,1,17,28,8,11,22,30,13,15,17,19,2,10,22,17,3,17,7,6,22,17,11,9,1,13,19,20,11,18,4,4,13,12,25,30,10,19,14,8,4,5,3,18,25,17,3,2,16,19
PHI vs HOU,2023-02-12,1,227.0,0.667,0.655,0.3,0.232,4,5,24,30,12,5,27,29,28,27,22,30,28,30,9,4,26,19,18,30,27,19,1,12,4,6,28,30,19,9,22,17,28,21,29,17,6,4,28,29,30,30,17,20,18,10,13,28,6,17,5,8,5,3,25,24
PHI vs NYK,2023-02-09,1,227.0,0.625,0.642,0.5,0.536,15,5,15,10,16,5,21,10,28,29,16,13,29,30,13,2,26,21,19,28,28,18,26,24,2,7,11,4,25,10,27,28,30,22,10,8,3,4,13,23,30,30,20,8,16,9,15,25,20,18,16,4,4,3,19,21
PHI vs ORL,2023-01-31,1,199.0,0.778,0.653,0.444,0.392,3,4,21,26,18,5,19,26,24,29,27,26,29,30,28,23,21,18,26,28,23,18,23,17,9,6,11,21,20,9,20,19,24,21,29,26,5,4,10,20,27,30,28,25,7,7,13,15,18,18,13,7,3,2,13,12
PHI vs ORL,2023-01-29,0,228.0,0.889,0.667,0.4,0.38,1,4,19,26,5,5,23,26,22,29,17,26,28,30,24,23,15,19,17,28,20,17,21,18,8,6,21,21,19,9,14,21,24,21,18,26,8,4,11,20,28,30,21,26,3,7,11,13,18,18,6,8,2,2,16,11
PHI vs DEN,2023-01-27,1,245.0,0.889,0.66,0.8,0.694,1,4,1,2,5,5,2,4,22,29,17,10,27,30,18,20,21,20,6,2,15,17,11,20,8,6,19,19,17,9,5,10,24,21,14,27,13,4,14,1,27,30,19,22,3,8,4,2,13,18,17,21,1,1,29,27
PHI vs BKN,2023-01-24,1,270.0,0.8,0.652,0.444,0.63,3,4,20,6,8,5,21,7,15,27,29,28,23,29,28,30,10,19,27,12,9,15,2,1,7,5,9,14,22,9,19,18,19,21,28,29,12,4,13,2,23,29,29,30,6,8,14,2,20,19,29,30,1,3,26,14
PHI vs OKC,2023-01-11,0,247.0,0.7,0.625,0.444,0.439,4,7,17,23,5,4,6,18,8,28,22,14,19,28,24,14,8,20,23,19,2,15,16,9,14,6,8,10,13,8,8,6,15,20,25,15,8,4,5,17,15,28,20,6,6,10,17,21,19,21,27,23,2,3,24,14
PHI vs DET,2023-01-09,1,263.0,0.7,0.615,0.273,0.256,7,8,22,28,6,6,30,29,13,28,8,4,20,30,8,9,11,24,14,22,3,18,29,28,8,4,30,25,14,8,5,12,11,18,19,12,11,4,7,17,16,29,7,3,10,11,23,27,22,22,2,1,2,2,24,21
PHI vs CHI,2023-01-05,0,238.0,0.8,0.622,0.545,0.447,1,8,6,21,3,6,24,24,16,30,3,21,20,30,12,24,10,24,11,18,5,18,15,16,8,5,14,7,16,7,6,12,10,21,25,30,12,5,6,10,22,30,6,22,13,12,3,5,19,22,17,23,1,5,2,2
PHI vs IND,2023-01-03,1,255.0,0.778,0.611,0.7,0.553,4,8,4,10,3,6,13,17,28,30,12,5,29,30,23,20,23,25,5,4,8,18,10,2,4,5,10,22,17,6,17,8,23,21,10,5,14,5,5,8,29,30,19,10,13,12,10,22,24,21,27,19,1,4,8,9
PHI vs NOP,2023-01-01,1,231.0,0.778,0.6,0.5,0.639,4,8,11,4,3,5,14,3,27,30,7,9,28,30,9,10,17,25,13,8,10,18,16,21,5,6,29,20,20,5,2,2,21,21,17,27,14,5,16,11,29,30,11,18,11,11,21,9,23,22,2,2,1,3,18,15
PHI vs LAC,2022-12-22,1,233.0,0.75,0.6,0.6,0.576,7,11,7,5,3,7,10,16,30,30,24,20,30,30,6,4,29,26,25,23,23,20,13,14,4,6,22,26,16,4,30,27,26,25,10,11,1,4,4,9,30,30,17,14,13,14,30,23,23,21,21,12,2,5,21,24
PHI vs DET,2022-12-20,1,206.0,0.625,0.586,0.3,0.242,15,12,25,29,10,7,23,29,30,30,15,4,30,30,18,7,29,27,23,23,29,23,28,26,2,6,7,21,13,5,22,16,29,25,11,9,1,3,8,18,30,30,20,3,14,13,17,27,27,22,10,1,2,5,19,19
PHI vs TOR,2022-12-18,1,205.0,0.625,0.571,0.273,0.433,16,13,25,21,10,7,23,16,29,30,7,22,30,30,20,21,28,27,16,26,28,20,10,11,3,5,4,1,14,6,4,1,29,26,20,24,1,3,27,28,30,30,6,12,12,10,24,27,28,23,2,4,2,5,7,15
PHI vs GSW,2022-12-15,1,224.0,0.667,0.556,0.5,0.483,7,12,16,17,4,7,5,16,28,30,13,3,30,29,14,15,20,26,4,1,27,20,19,22,9,9,25,28,10,5,28,17,27,26,4,1,1,4,4,5,30,30,15,8,4,10,12,8,23,21,29,29,2,5,21,13
PHI vs SAC,2022-12-12,1,226.0,0.6,0.538,0.5,0.56,6,12,13,12,10,8,11,7,17,29,20,26,24,30,15,29,18,26,14,13,23,19,25,30,23,13,26,4,4,5,15,25,20,26,10,10,2,4,23,15,19,29,18,30,13,11,16,3,22,22,8,16,2,5,20,18
PHI vs CHA,2022-12-10,1,244.0,0.556,0.52,0.333,0.269,12,15,25,27,14,8,28,28,27,30,29,26,30,29,24,8,26,27,28,15,27,21,28,16,11,12,2,15,8,5,26,10,26,25,30,24,3,5,28,28,30,29,25,8,17,12,27,28,29,23,23,20,1,5,28,27
PHI vs LAL,2022-12-08,1,255.0,0.5,0.5,0.636,0.417,12,18,3,24,13,11,6,21,23,30,3,25,22,29,1,16,21,27,7,25,25,19,5,14,20,7,19,8,5,5,25,29,24,25,20,29,2,6,20,30,23,30,4,22,16,14,6,15,16,22,1,7,8,5,5,8
PHI vs ATL,2022-11-27,1,205.0,0.7,0.55,0.455,0.55,3,9,13,9,2,6,18,17,24,17,8,11,21,28,3,8,25,23,24,21,10,16,21,16,17,13,12,4,4,2,15,15,26,19,22,26,18,7,27,27,27,26,3,6,14,10,25,22,8,13,11,23,7,9,1,3
PHI vs BKN,2022-11-21,1,221.0,0.5,0.5,0.6,0.471,22,19,6,19,15,11,7,15,30,29,21,18,30,28,22,25,30,27,9,10,20,20,8,1,2,7,12,13,23,9,17,16,29,25,25,21,16,9,4,12,30,29,24,24,22,11,5,3,21,17,21,13,16,11,14,7
PHI vs MIN,2022-11-18,0,221.0,0.667,0.533,0.333,0.467,7,15,25,19,9,10,24,18,28,29,27,19,29,28,28,20,30,24,18,10,14,16,20,15,2,3,13,20,10,7,19,12,27,22,23,20,13,11,24,25,28,29,27,21,18,13,6,4,17,19,22,17,20,13,16,19
PHI vs MIL,2022-11-17,1,212.0,0.667,0.5,0.727,0.786,5,17,2,2,5,11,7,4,29,29,7,26,28,29,1,4,27,26,13,24,13,18,6,4,3,2,24,16,5,6,11,23,28,23,3,6,13,12,23,22,29,30,3,19,17,16,28,28,20,21,2,14,12,8,27,27
PHI vs UTA,2022-11-12,1,203.0,0.6,0.462,0.667,0.714,8,15,1,1,9,12,8,5,24,17,1,1,28,26,2,3,18,18,1,1,18,17,3,9,8,7,29,28,9,5,2,2,20,15,1,1,2,7,11,8,25,23,2,1,15,18,12,12,15,10,14,16,9,7,11,13
PHI vs ATL,2022-11-11,1,230.0,0.5,0.417,0.6,0.667,13,18,9,6,11,14,14,8,27,25,16,14,27,28,12,11,21,24,22,16,19,20,13,16,8,7,1,2,11,9,17,15,20,18,27,28,4,6,24,23,28,26,9,8,21,20,18,17,17,20,29,29,10,8,6,5
PHI vs PHX,2022-11-06,1,188.0,0.4,0.4,0.778,0.778,17,17,4,4,13,13,3,3,11,11,22,22,26,26,27,27,13,13,7,7,20,20,12,12,8,8,5,5,4,4,13,13,8,8,23,23,2,2,14,14,19,19,24,24,8,8,7,7,19,19,21,21,10,10,7,7
PHI vs NYK,2022-11-03,0,210.0,0.444,0.444,0.429,0.429,12,12,21,21,11,11,15,15,4,4,26,26,21,21,17,17,8,8,23,23,20,20,17,17,13,13,6,6,5,5,27,27,6,6,25,25,2,2,24,24,14,14,20,20,2,2,20,20,12,12,29,29,11,11,28,28
PHI vs WAS,2022-11-01,0,232.0,0.5,0.5,0.429,0.429,7,7,17,17,9,9,19,19,8,8,20,20,18,18,19,19,10,10,16,16,14,14,8,8,17,17,17,17,4,4,19,19,8,8,26,26,4,4,19,19,14,14,19,19,1,1,12,12,14,14,25,25,10,10,5,5
