MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
PHX vs LAC,2023-04-08,0,233.0,0.636,0.556,0.6,0.531,5,9,8,11,8,9,13,16,6,17,16,19,5,11,23,17,4,4,10,23,1,5,19,21,10,11,21,18,17,14,8,16,13,17,14,14,15,7,3,3,7,9,22,24,21,23,1,12,8,27,14,12,12,9,19,18
PHX vs DEN,2023-04-05,1,234.0,0.7,0.557,0.6,0.658,4,9,11,3,6,9,17,6,19,23,25,13,19,11,21,20,12,4,18,2,1,9,16,19,7,12,10,18,24,14,16,11,21,20,25,26,15,7,25,4,18,14,22,23,21,22,17,1,16,28,25,24,8,10,27,26
PHX vs SAS,2023-04-03,1,209.0,0.6,0.551,0.273,0.256,9,9,23,28,13,9,28,30,16,19,4,26,17,11,2,16,6,3,1,6,1,8,19,25,6,13,26,27,19,14,5,20,22,20,3,21,13,7,15,25,8,11,1,3,24,22,27,25,17,28,11,29,8,9,30,29
PHX vs DEN,2023-03-30,1,193.0,0.4,0.539,0.5,0.671,20,9,14,3,20,10,14,6,14,19,17,12,14,13,22,19,9,3,8,2,2,9,21,22,5,11,10,18,14,15,20,11,20,19,24,25,23,7,17,2,9,11,20,25,22,23,3,1,16,28,14,22,9,9,14,25
PHX vs MIN,2023-03-28,1,207.0,0.4,0.533,0.556,0.513,20,9,14,14,13,9,15,19,11,23,24,6,16,13,24,23,7,3,13,8,3,10,20,4,9,12,6,28,19,17,21,5,15,18,29,14,15,6,4,15,11,11,27,17,17,21,6,3,25,28,7,14,7,10,29,26
PHX vs PHI,2023-03-24,1,230.0,0.333,0.521,0.818,0.671,25,13,1,3,19,9,1,3,25,24,5,15,27,14,7,27,18,5,7,18,14,11,3,13,5,13,23,8,26,16,5,9,25,20,12,19,18,7,1,2,24,12,13,30,11,21,1,8,27,28,1,7,10,11,3,1
PHX vs ORL,2023-03-15,1,229.0,0.556,0.536,0.4,0.406,12,11,20,26,6,9,24,26,27,22,20,28,24,10,17,20,25,3,25,28,16,11,18,17,2,11,14,24,26,13,15,16,28,19,22,27,17,6,29,23,26,11,18,25,12,23,19,18,29,28,9,5,15,12,23,16
PHX vs MIL,2023-03-13,0,220.0,0.625,0.544,0.8,0.721,8,10,1,1,4,9,1,4,27,21,4,12,21,11,2,1,25,3,3,15,14,10,8,11,1,12,19,21,26,13,29,27,25,18,2,4,17,7,2,11,27,13,4,11,9,22,7,21,27,27,20,22,18,12,11,29
PHX vs SAC,2023-03-10,0,247.0,0.833,0.561,0.875,0.6,6,10,1,6,2,9,5,8,30,24,3,3,26,12,16,27,30,3,2,6,15,10,29,29,1,11,17,10,30,14,12,23,28,19,10,9,7,5,5,10,30,15,18,27,11,22,1,2,30,28,4,9,18,12,21,9
PHX vs OKC,2023-03-07,1,233.0,0.667,0.554,0.444,0.477,9,10,9,19,9,9,3,10,30,25,1,7,27,11,2,13,29,3,1,18,20,10,25,17,2,12,17,5,30,15,1,4,30,19,3,13,13,5,20,14,30,15,1,2,13,24,15,18,30,27,2,20,24,12,12,7
PHX vs OKC,2023-02-23,1,239.0,0.714,0.533,0.571,0.483,7,11,10,20,7,11,3,10,24,18,12,14,16,11,23,20,10,3,19,21,19,10,24,14,14,16,6,5,1,12,6,8,25,15,17,17,23,6,17,13,22,10,15,7,14,22,9,18,23,26,9,21,20,11,5,7
PHX vs LAC,2023-02-15,0,223.0,0.7,0.542,0.6,0.533,3,9,8,9,10,11,9,16,22,19,16,17,11,11,20,9,6,3,30,25,10,9,10,14,13,16,1,17,2,12,8,20,27,16,12,12,24,5,7,6,15,9,13,17,22,22,20,20,15,27,16,15,15,10,7,20
PHX vs SAC,2023-02-13,1,229.0,0.7,0.534,0.5,0.571,3,11,17,8,4,11,22,7,22,19,19,11,7,10,26,27,6,3,17,8,6,9,27,29,13,16,10,9,10,14,16,22,25,15,15,8,16,5,24,10,17,10,21,26,26,23,8,3,18,26,15,14,14,10,5,8
PHX vs ATL,2023-01-31,0,232.0,0.6,0.519,0.545,0.49,10,11,10,18,19,10,16,23,20,13,3,10,6,10,12,13,4,3,9,19,9,8,18,14,24,16,20,3,18,15,14,17,21,13,18,29,8,3,9,22,14,5,7,4,28,22,1,11,17,27,14,25,15,8,5,4
PHX vs TOR,2023-01-29,1,220.0,0.6,0.51,0.545,0.451,9,13,9,21,19,11,9,14,18,15,2,14,5,11,6,16,4,3,8,25,9,8,3,6,26,16,4,1,24,17,5,1,21,13,10,17,5,3,18,28,14,7,2,5,28,22,16,28,11,27,4,5,13,8,19,12
PHX vs DAL,2023-01-25,0,194.0,0.5,0.51,0.273,0.51,14,13,24,13,23,11,26,16,24,14,11,15,11,11,20,30,6,4,24,29,16,8,22,26,28,17,15,2,25,16,30,24,25,13,4,4,3,3,17,14,20,9,16,26,28,22,16,16,17,27,1,2,7,7,22,27
PHX vs CHA,2023-01-23,1,225.0,0.4,0.5,0.3,0.271,18,15,21,28,25,13,24,27,26,15,15,18,9,12,20,6,15,4,13,11,22,13,14,11,28,17,6,10,22,15,7,5,27,15,16,16,6,3,24,30,19,9,16,2,29,22,12,28,15,27,16,17,10,9,20,25
PHX vs MEM,2023-01-21,1,222.0,0.3,0.489,0.9,0.689,22,17,2,3,27,14,2,2,27,16,8,17,14,11,2,2,15,5,16,17,28,12,2,3,26,16,9,9,25,16,2,9,25,15,19,21,10,3,11,20,21,8,8,10,30,22,10,16,22,27,7,10,11,11,30,30
PHX vs IND,2023-01-20,1,219.0,0.222,0.478,0.364,0.489,27,19,18,16,29,14,23,25,28,19,8,4,28,16,6,18,24,6,5,4,30,14,3,2,16,15,30,26,29,19,6,6,29,15,7,5,10,3,27,14,28,12,4,6,30,22,27,23,27,28,6,15,7,7,6,6
PHX vs BKN,2023-01-18,1,229.0,0.111,0.467,0.5,0.628,29,20,19,7,29,15,10,7,28,20,30,29,27,18,29,30,26,7,28,12,30,13,3,1,21,15,5,13,27,17,19,20,28,15,30,29,6,3,16,2,27,11,30,30,28,21,9,2,28,28,30,30,1,6,12,7
PHX vs CLE,2023-01-07,0,210.0,0.2,0.5,0.556,0.625,28,14,14,4,27,9,15,2,25,13,28,22,17,17,25,19,17,7,27,20,21,8,24,25,22,8,8,16,25,14,25,27,21,13,24,17,4,4,12,11,20,8,29,24,27,20,9,8,26,28,16,12,20,12,29,17
PHX vs MIA,2023-01-05,0,200.0,0.3,0.513,0.556,0.513,23,13,14,13,26,9,10,17,27,10,30,26,20,17,30,26,15,5,27,16,19,8,30,29,18,9,2,4,26,14,2,3,16,13,22,7,3,4,23,24,24,7,27,18,23,20,17,26,25,28,29,25,27,13,13,3
PHX vs MEM,2022-12-22,0,225.0,0.364,0.594,0.778,0.633,19,5,4,5,13,3,2,5,3,5,27,26,7,18,17,5,2,3,19,22,13,6,1,4,9,3,2,5,14,13,11,18,6,10,24,23,8,7,27,17,2,7,26,19,21,15,8,16,18,28,24,17,22,9,27,30
PHX vs WAS,2022-12-19,0,223.0,0.455,0.613,0.0,0.355,15,4,30,24,9,3,29,25,4,4,22,19,8,15,19,13,1,3,17,12,8,5,11,3,12,3,15,6,8,11,10,19,5,9,20,18,3,6,21,20,2,5,21,13,20,15,15,14,19,28,16,22,14,9,27,23
PHX vs LAL,2022-12-18,1,234.0,0.455,0.6,0.545,0.448,16,6,7,21,15,5,12,18,3,8,2,21,7,19,3,16,2,4,4,19,8,6,4,13,15,3,9,6,10,12,17,24,5,11,15,27,9,7,26,29,2,8,3,22,16,15,6,9,20,28,1,6,10,7,18,12
PHX vs NOP,2022-12-16,1,232.0,0.455,0.586,0.778,0.643,14,7,3,5,16,5,5,3,5,9,26,15,4,18,21,16,2,4,24,10,5,6,18,23,15,3,12,14,10,12,4,3,6,12,27,28,9,6,29,13,2,8,26,22,21,16,13,6,23,28,10,12,12,7,7,17
PHX vs BOS,2022-12-06,0,223.0,0.727,0.667,0.818,0.8,2,3,1,1,3,2,1,1,3,6,2,2,1,20,7,15,3,6,4,3,3,7,11,10,16,5,23,12,18,15,19,30,8,15,4,2,2,3,1,1,2,11,7,13,8,8,2,3,16,28,23,18,16,7,1,1
PHX vs HOU,2022-12-01,0,243.0,0.7,0.714,0.333,0.238,2,2,23,29,5,2,25,28,11,14,27,27,8,25,18,10,15,10,29,29,3,7,13,19,9,3,28,30,19,18,17,13,14,23,20,8,7,7,18,16,7,14,28,21,12,9,24,30,28,29,15,8,14,5,19,19
