MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
SAS vs MIN,2023-04-07,0,282.0,0.3,0.263,0.556,0.5,23,28,17,17,30,30,21,20,23,26,28,16,21,17,24,24,17,6,24,11,25,26,27,5,13,26,9,28,13,22,23,6,14,22,29,15,27,26,7,16,17,4,28,21,29,25,16,4,27,29,18,18,27,28,25,24
SAS vs POR,2023-04-05,1,256.0,0.2,0.253,0.2,0.418,27,28,27,26,30,30,29,26,23,26,27,24,22,17,25,27,15,6,28,24,26,25,10,19,16,26,15,18,11,22,7,24,8,22,13,9,26,25,30,13,13,5,19,28,29,25,30,17,26,29,23,9,30,29,19,8
SAS vs UTA,2023-03-28,0,245.0,0.3,0.253,0.444,0.467,24,28,20,22,29,30,23,21,22,27,27,9,10,18,14,7,9,6,19,10,20,26,7,5,24,26,8,27,14,21,30,30,8,23,22,5,17,25,21,19,9,6,24,14,26,25,22,18,29,29,20,13,30,29,23,16
SAS vs ATL,2023-03-18,1,244.0,0.444,0.257,0.5,0.5,20,28,12,15,22,30,15,19,27,28,14,10,21,17,17,13,18,7,23,20,20,26,20,12,18,27,9,3,24,21,17,20,17,26,22,29,6,25,8,20,24,7,12,6,26,23,6,9,28,29,18,26,28,28,9,4
SAS vs MEM,2023-03-16,0,246.0,0.444,0.261,0.6,0.603,20,28,6,7,23,30,9,6,28,27,18,22,21,20,19,4,21,6,10,17,19,26,13,3,13,26,2,7,28,21,6,6,23,26,11,19,12,24,21,25,22,6,13,11,25,21,18,19,30,29,27,14,29,28,16,30
SAS vs DAL,2023-03-14,0,265.0,0.444,0.265,0.333,0.493,20,28,25,15,25,30,15,14,27,27,24,18,24,21,27,30,19,4,28,29,22,26,29,28,18,26,1,2,30,22,28,25,25,26,8,3,16,24,4,10,24,6,27,29,19,20,14,16,30,29,22,4,27,28,26,27
SAS vs ORL,2023-03-13,1,246.0,0.375,0.254,0.444,0.412,23,28,19,26,29,30,21,26,30,29,19,27,26,21,18,19,28,7,26,28,26,26,16,17,12,26,15,24,30,23,16,16,29,28,21,26,28,25,29,22,26,10,18,25,27,23,19,18,30,29,8,5,26,28,22,15
SAS vs OKC,2023-03-11,0,192.0,0.429,0.258,0.4,0.478,22,28,15,19,26,30,16,10,30,29,2,7,28,22,4,15,29,7,3,19,27,27,27,19,8,25,16,6,30,23,1,3,29,28,3,12,24,25,22,15,28,10,1,3,20,21,23,19,30,29,4,20,26,28,11,7
SAS vs DEN,2023-03-09,1,248.0,0.333,0.246,0.714,0.697,26,28,4,2,30,30,12,3,30,28,22,10,29,22,16,19,29,7,5,2,23,26,23,22,7,25,10,20,30,23,24,10,29,27,14,24,27,25,14,2,28,10,20,25,27,22,13,1,30,29,24,23,27,28,25,25
SAS vs HOU,2023-03-03,0,232.0,0.286,0.254,0.0,0.21,21,28,29,30,26,30,30,29,24,26,30,30,13,20,25,7,14,5,30,30,19,25,23,12,23,26,5,29,23,21,26,19,23,27,28,19,24,26,30,30,14,6,27,23,27,21,30,30,26,29,23,9,24,28,25,25
