MATCHUP,"GAME_DATE""",WIN,TOTAL_POINTS,W_PCT_L_S,W_PCT_L_G,W_PCT_A_S,W_PCT_A_G,W_RANK_L_S,W_RANK_L_G,W_RANK_A_S,W_RANK_A_G,PLUS_MINUS_RANK_L_S,PLUS_MINUS_RANK_L_G,PLUS_MINUS_RANK_A_S,PLUS_MINUS_RANK_A_G,PTS_RANK_L_S,PTS_RANK_L_G,PTS_RANK_A_S,PTS_RANK_A_G,REB_RANK_L_S,REB_RANK_L_G,REB_RANK_A_S,REB_RANK_A_G,AST_RANK_L_S,AST_RANK_L_G,AST_RANK_A_S,AST_RANK_A_G,BLK_RANK_L_S,BLK_RANK_L_G,BLK_RANK_A_S,BLK_RANK_A_G,TOV_RANK_L_S,TOV_RANK_L_G,TOV_RANK_A_S,TOV_RANK_A_G,STL_RANK_L_S,STL_RANK_L_G,STL_RANK_A_S,STL_RANK_A_G,FG3A_RANK_L_S,FG3A_RANK_L_G,FG3A_RANK_A_S,FG3A_RANK_A_G,FG3_PCT_RANK_L_S,FG3_PCT_RANK_L_G,FG3_PCT_RANK_A_S,FG3_PCT_RANK_A_G,FGA_RANK_L_S,FGA_RANK_L_G,FGA_RANK_A_S,FGA_RANK_A_G,FG_PCT_RANK_L_S,FG_PCT_RANK_L_G,FG_PCT_RANK_A_S,FG_PCT_RANK_A_G,FTA_RANK_L_S,FTA_RANK_L_G,FTA_RANK_A_S,FTA_RANK_A_G,FT_PCT_RANK_L_S,FT_PCT_RANK_L_G,FT_PCT_RANK_A_S,FT_PCT_RANK_A_G
TOR vs MIL,2023-04-08,1,226.0,0.5,0.494,0.727,0.716,14,18,2,1,9,11,9,5,20,23,3,7,17,18,3,1,21,24,1,12,5,8,9,11,2,1,25,22,1,1,19,27,21,22,2,4,30,28,8,11,14,5,4,7,27,27,6,18,25,16,18,23,15,17,27,29
TOR vs MIA,2023-03-27,1,198.0,0.556,0.493,0.556,0.533,12,16,12,9,8,12,19,22,27,23,29,30,26,17,29,28,28,25,27,24,17,8,29,30,1,1,10,8,1,1,28,6,28,21,27,10,18,28,9,27,25,6,30,26,23,27,8,26,30,14,15,18,14,17,2,2
TOR vs WAS,2023-03-25,1,218.0,0.444,0.486,0.273,0.446,18,18,25,23,10,13,25,23,28,21,11,21,24,17,13,15,28,25,11,15,20,8,7,7,1,1,18,16,1,1,16,23,27,21,19,24,19,28,29,19,25,6,9,22,20,27,9,7,29,12,20,22,12,18,6,13
TOR vs DET,2023-03-23,1,215.0,0.444,0.479,0.1,0.219,22,20,30,30,10,12,29,28,27,21,26,28,25,18,17,20,28,25,25,28,24,8,19,27,1,1,24,24,2,1,23,16,28,22,24,17,15,28,27,21,24,7,13,18,18,27,29,30,30,13,28,3,16,18,27,21
TOR vs IND,2023-03-21,0,232.0,0.444,0.486,0.444,0.444,19,18,19,23,13,13,24,25,26,21,21,10,24,19,26,25,22,25,18,6,25,9,3,2,1,1,8,23,2,1,24,8,29,22,18,6,9,26,13,12,22,6,23,10,16,26,6,25,30,15,25,19,7,17,21,12
TOR vs MIN,2023-03-17,1,229.0,0.5,0.486,0.444,0.493,13,17,20,15,19,12,15,20,24,23,26,6,18,20,27,22,14,24,18,8,19,9,4,4,6,1,8,28,2,1,11,5,25,22,21,11,13,27,6,16,14,6,27,15,26,26,14,4,29,12,20,16,16,18,30,23
TOR vs OKC,2023-03-15,1,239.0,0.5,0.478,0.5,0.493,12,19,7,16,20,16,11,10,25,25,2,6,23,21,2,12,22,25,4,18,18,9,29,19,6,1,15,5,2,1,1,4,26,22,4,11,22,28,26,15,19,7,1,2,29,28,27,20,30,15,5,20,14,17,8,6
TOR vs DEN,2023-03-13,1,235.0,0.444,0.471,0.556,0.676,19,21,8,3,22,16,12,6,26,25,19,10,21,20,16,17,21,25,5,2,16,8,20,20,7,1,10,20,3,1,19,10,26,22,14,23,24,28,11,2,17,7,21,22,29,28,12,1,29,15,24,23,17,18,21,24
TOR vs CHI,2023-02-27,1,202.0,0.714,0.484,0.25,0.459,5,18,22,22,16,16,15,14,21,17,15,21,15,16,1,21,25,25,20,21,3,6,21,21,9,1,25,10,9,1,14,11,29,19,21,30,19,27,30,16,20,3,6,23,22,27,24,6,9,7,14,24,30,19,24,5
TOR vs NOP,2023-02-22,1,225.0,0.833,0.475,0.571,0.508,5,19,9,15,9,13,11,11,29,18,19,14,28,18,13,11,29,25,16,11,6,5,25,23,3,1,15,23,12,1,10,2,27,18,28,29,18,27,19,19,29,7,18,17,13,26,6,11,27,8,20,7,29,16,17,17
